fold,accuracy,macro_f1,cohen_kappa,weighted_kappa,precision_c0,recall_c0,f1_c0,support_c0,precision_c1,recall_c1,f1_c1,support_c1,precision_c2,recall_c2,f1_c2,support_c2,precision_c3,recall_c3,f1_c3,support_c3,precision_c4,recall_c4,f1_c4,support_c4,precision_c5,recall_c5,f1_c5,support_c5
1,0.47058823529411764,0.32171337434495334,0.3162011173184358,0.6050686378035903,0.4,0.3333333333333333,0.36363636363636365,6,0.5454545454545454,0.6,0.5714285714285714,10,0.0,0.0,0.0,3,0.5454545454545454,0.75,0.631578947368421,8,0.3333333333333333,0.4,0.36363636363636365,5,0.0,0.0,0.0,2
2,0.6060606060606061,0.41003267973856206,0.4880668257756563,0.6965052115266708,0.5,0.16666666666666666,0.25,6,0.5625,1.0,0.72,9,0.0,0.0,0.0,5,0.7,1.0,0.8235294117647058,7,0.75,0.6,0.6666666666666666,5,0.0,0.0,0.0,1
3,0.5454545454545454,0.4666666666666666,0.4183313748531139,0.6082532504239684,0.5,0.5,0.5,6,0.5833333333333334,0.875,0.7,8,0.0,0.0,0.0,5,0.5,0.75,0.6,8,0.5,0.25,0.3333333333333333,4,1.0,0.5,0.6666666666666666,2
