fold,mae,rmse,r2,pearson_r,spearman_r,nmae,ba_mean_diff,ba_loa_upper,ba_loa_lower,rounded_acc_1,tolerance_acc_1p5,loss
1,1.3302952086224276,3.1107562381137073,0.784893741728605,0.8986619179993504,0.8748686095397171,0.06651476043112138,-0.7250469800303964,5.204110546709316,-6.6542045067701086,0.7647058823529411,0.7647058823529411,0.9668525760555092
2,1.2693542874220647,3.0852253432480348,0.7848889310434729,0.8953567868421425,0.8783543630585334,0.06346771437110324,0.5519304257450681,6.501422602425714,-5.397561750935577,0.9090909090909091,0.9090909090909091,0.928486300049105
3,1.2600640780997998,1.5485517288029935,0.9370980931344048,0.9750333416631007,0.9584161396028499,0.06300320390499,-0.6152682412754406,2.170041029246256,-3.400577511797137,0.696969696969697,0.696969696969697,0.8539033645632291
