fold,mae,rmse,r2,pearson_r,spearman_r,nmae,ba_mean_diff,ba_loa_upper,ba_loa_lower,rounded_acc_1,tolerance_acc_1p5
1,1.2850742392680223,1.6833507456484567,0.9370101874624308,0.9714997573726563,0.9411883063062958,0.06425371196340111,-0.1130145805723527,3.17890880792266,-3.4049379690673653,0.7352941176470589,0.7352941176470589
2,1.6374633926333804,3.2561447910960664,0.7603947139799566,0.8792583335528166,0.8520472980069902,0.08187316963166902,0.6431741244865187,6.899476300917768,-5.61312805194473,0.696969696969697,0.696969696969697
3,2.1374841169877485,3.8247333456198174,0.6162797657580277,0.8027524608837782,0.7980931598197659,0.10687420584938742,0.7281354123895819,8.087512339402391,-6.631241514623228,0.5757575757575758,0.5757575757575758
