epoch,lr,train_mae,train_rmse,train_r2,train_pearson_r,train_spearman_r,train_nmae,train_ba_mean_diff,train_ba_loa_upper,train_ba_loa_lower,train_rounded_acc_1,train_tolerance_acc_1p5,train_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_1,val_tolerance_acc_1p5,val_loss,is_best
1,2.125e-05,6.242351083613154,6.764901969593988,-0.025140926349499937,0.07194794111181674,0.07165024786470535,0.3121175541806577,-1.0786785367709488,12.010886369998758,-14.168243443540657,0.029850746268656716,0.029850746268656716,6.451843140730217,5.553258924773245,6.311598056118813,-0.044939253636213206,0.3312645144258483,0.32785713961917257,0.2776629462386623,-1.3639533014008494,10.714466416032707,-13.442373018834406,0.09090909090909091,0.09090909090909091,5.050034037744156,True
2,3.25e-05,6.198564266090963,6.702745806011658,-0.0063894050544461845,0.29136557490290443,0.28308048793448076,0.3099282133045481,-0.7202345079450465,12.341083078771323,-13.781552094661414,0.029850746268656716,0.029850746268656716,6.391042216856088,5.47825762719819,6.221066493475297,-0.015177685624493398,0.4917954499303818,0.5951739071654443,0.27391288135990954,-0.956131227088697,11.092287279864145,-13.00454973404154,0.09090909090909091,0.09090909090909091,4.9865741055421156,True
3,4.375e-05,6.002836319937635,6.499248144286998,0.05379161014326761,0.7471243080988159,0.7240235543581449,0.3001418159968817,-0.16040055431536773,12.574245727118107,-12.895046835748843,0.029850746268656716,0.029850746268656716,6.149699467331616,5.156588091994777,5.956197132129515,0.06942688174626688,0.6710423111228787,0.7565030981187149,0.25782940459973885,0.09536910779548413,11.768018905552209,-11.57728068996124,0.18181818181818182,0.18181818181818182,4.681761683899947,True
4,5.4999999999999995e-05,3.8344705887694857,4.5904379351325195,0.5279708744757015,0.8816106941623195,0.8076955216440361,0.1917235294384743,0.6113992199968936,9.528497020842032,-8.305698580848244,0.1791044776119403,0.1791044776119403,4.148776646514437,5.967397812641028,7.089217736080291,-0.3182840791816599,0.7464687155132564,0.8368322898719547,0.29836989063205144,-3.8620073650822495,7.790008373944236,-15.514023104108734,0.12121212121212122,0.12121212121212122,5.504895021566989,False
5,6.625e-05,2.115623538173846,3.2245143189704715,0.7670894416501352,0.8791798019473783,0.8532820417120605,0.1057811769086923,0.26407670974731445,6.5628946762117835,-6.034741256717155,0.5223880597014925,0.5223880597014925,2.614753243460584,7.602502432736483,9.150334774855603,-1.1962731055427702,0.743814171098006,0.7900434704582722,0.38012512163682416,-6.811452432112261,5.164250580842988,-18.78715544506751,0.15151515151515152,0.15151515151515152,7.104124213408942,False
6,7.75e-05,1.991284477176951,3.1405322619838434,0.7790637007387775,0.8829490796361248,0.8447608229542816,0.09956422385884754,0.07195798674626137,6.225785233333957,-6.081869259841435,0.5522388059701493,0.5522388059701493,2.413371092525881,7.711539225144819,9.28426279147988,-1.261034691395841,0.566607933477607,0.6570558941319276,0.38557696125724095,-6.993154713601777,4.976224076070597,-18.96253350327415,0.15151515151515152,0.15151515151515152,7.204441035546438,False
7,8.875e-05,1.7896664711966443,2.997261221870586,0.7987621139073245,0.8942569001178023,0.8823261957878707,0.08948332355983221,-0.020644412111880173,5.853848231246782,-5.895137055470543,0.6417910447761194,0.6417910447761194,2.2663155797702164,6.994273742039998,8.426916053174754,-0.8627291532936698,0.8318172701978057,0.8195589981170825,0.3497136871019999,-6.169910351435344,5.080066298100271,-17.41988700097096,0.18181818181818182,0.18181818181818182,6.526168696266232,False
8,0.0001,1.6597431506683578,2.96692351487188,0.8028152799588085,0.896178986576039,0.875965286010937,0.08298715753341789,-0.07164647152174765,5.741827825295934,-5.885120768339428,0.6716417910447762,0.6716417910447762,2.098901914838535,4.67572452805259,5.542422592964513,0.194228969825735,0.8822005493056324,0.870372662211512,0.2337862264026295,-2.983014677510117,6.172529390671801,-12.138558745692034,0.15151515151515152,0.15151515151515152,4.1359965829536165,False
9,9.998052800596113e-05,1.2905093805113834,2.2216080542551797,0.8894406595217588,0.9446728299812703,0.9388942865085258,0.06452546902556917,-0.03912358497505757,4.31455294358501,-4.392800113535126,0.7611940298507462,0.7611940298507462,1.8039899278042921,5.74173540057558,7.139124008499362,-0.33691017347309815,0.7268871814413541,0.7073664526412634,0.287086770028779,4.240692861152418,15.49724019783168,-7.015854475526844,0.15151515151515152,0.15151515151515152,5.245222247730602,False
10,9.992212734338192e-05,0.9354784435300685,1.3948629831945156,0.9564163442966546,0.979662452420961,0.9626576852978251,0.046773922176503425,0.13890489357620922,2.8592466256376654,-2.581436838485247,0.7910447761194029,0.7910447761194029,1.5246141052957791,6.100568728013472,7.722272975119877,-0.5642374360142726,0.39169015899330745,0.7132360178006859,0.30502843640067356,4.845835729078813,16.630534537259464,-6.938863079101837,0.18181818181818182,0.18181818181818182,5.600658845179009,False
11,9.982484395882215e-05,0.7673930000903001,1.0050544748343733,0.9773723339849125,0.9895386541357134,0.9810003087740771,0.038369650004515005,0.13264152363165102,2.085317749675261,-1.820034702411959,0.835820895522388,0.835820895522388,1.3050059314983995,6.511536395911015,8.363203550770907,-0.8346689489556292,0.7367036940517301,0.7796459550330094,0.32557681979555075,5.975465312148586,17.44389209400714,-5.492961469709966,0.24242424242424243,0.24242424242424243,6.027651640072916,True
12,9.96887543897155e-05,0.6347946471242762,0.8066592786087401,0.9854239172845982,0.9932399516015058,0.9902216276645376,0.031739732356213815,0.0902739950080416,1.6613943921848624,-1.4808464021687793,0.9402985074626866,0.9402985074626866,1.1647269238286944,7.02673256036007,9.006363357467583,-1.1277044664518296,0.6213026888425979,0.74778260131043,0.3513366280180035,6.693767634305087,18.503976231208313,-5.11644096259814,0.2727272727272727,0.2727272727272727,6.559175431133822,True
13,9.951396570415405e-05,0.5494428792996193,0.666098078764866,0.9900611320872261,0.9952767494668113,0.9879413015180897,0.027472143964980968,0.014121165026479693,1.319379987483592,-1.2911376574306328,0.9850746268656716,0.9850746268656716,1.0651755870278201,4.904929031025279,5.963399380962297,0.06717501829169026,0.677981828756028,0.7761242159373559,0.24524645155126396,2.4038772438511704,13.100433609517854,-8.292679121815514,0.12121212121212122,0.12121212121212122,4.403996802098823,False
14,9.930061541665266e-05,0.49198685742136256,0.6259007952954345,0.9912245062021173,0.9958279322359668,0.9892414874787836,0.024599342871068127,0.09195864645402822,1.3054114301142843,-1.1214941372062277,0.9850746268656716,0.9850746268656716,1.0255692884103575,7.5132410526275635,8.844598160216778,-1.051958574874945,0.8731839334258842,0.8846273204558238,0.3756620526313782,-7.073383938182484,3.3338573274234395,-17.480625203788406,0.12121212121212122,0.12121212121212122,7.005283763071503,False
