fold,accuracy,macro_f1,cohen_kappa,weighted_kappa,precision_c0,recall_c0,f1_c0,support_c0,precision_c1,recall_c1,f1_c1,support_c1,precision_c2,recall_c2,f1_c2,support_c2,precision_c3,recall_c3,f1_c3,support_c3,precision_c4,recall_c4,f1_c4,support_c4,precision_c5,recall_c5,f1_c5,support_c5,loss
1,0.23529411764705882,0.06349206349206349,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,10,0.0,0.0,0.0,3,0.23529411764705882,1.0,0.38095238095238093,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2,0.7599046356537763
2,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6626111385798213
3,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.0,0.0,0.0,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,0.7368884114303974
