variant,task,MAE_mean,MAE_std,RMSE_mean,RMSE_std,PearsonR_mean,PearsonR_std,SpearmanRho_mean,SpearmanRho_std,R2_mean,R2_std,NMAE_mean,NMAE_std
eeg_emg,BI,6.9721136519544835,2.25542464980355,9.303687871809709,2.503939599920971,0.9486562049477306,0.013797697300905302,0.9408904059005468,0.007031106826883636,0.8751336367444891,0.061826314171910826,0.06972113651954477,0.0225542464980355
eeg_emg,FMA_UE,1.6646820248696184,0.02898284228297062,2.1715149392455766,0.30070097087435327,0.9594245933559163,0.03093311687432133,0.956845087969883,0.024376715441839603,0.8848858996691056,0.044261558216306625,0.08323410124348087,0.0014491421141485292
eeg_imu,BI,8.329910455257213,0.607279388180267,13.793001608490153,2.052486551167519,0.8674024899844325,0.032000881121221444,0.8667413907158158,0.03724246142335966,0.7314358171535522,0.07038898928163514,0.0832991045525721,0.006072793881802646
eeg_imu,FMA_UE,2.707604015096624,0.6765354868367637,3.8719496637433615,0.736474254480363,0.8518565934514929,0.05387453476027977,0.841984248463219,0.03593782749646278,0.6285444494502613,0.17576279608249618,0.13538020075483115,0.0338267743418382
eeg_only,BI,31.78002777824923,2.517562341261995,39.74519703296941,3.5238653008741196,0.31574521967224384,0.18983670698997385,0.4389310657018996,0.30234817744379344,-1.2019361923925422,0.14472209791972462,0.3178002777824923,0.02517562341261994
eeg_only,FMA_UE,6.386706983200227,2.0435993621459874,8.132912937548104,2.389364980147751,0.5832316725481053,0.1507123717050765,0.6057779867743157,0.14853091846262778,-0.6043090224718878,0.7458417534488919,0.31933534916001133,0.10217996810729937
emg_imu,BI,28.87233839924677,4.695771766641656,35.61813083682387,6.39897297511737,0.5407605601792009,0.0864868757658209,0.7598153822198376,0.21297060136139548,-0.8069705130797177,0.5982947433135761,0.28872338399246766,0.04695771766641653
emg_imu,FMA_UE,4.534645113290525,2.33791188972511,6.2688324527001855,2.6002656939038435,0.8142939308256277,0.10636386862012692,0.8165148428933461,0.08851848786598769,-0.0005904631552366979,0.7080226216718748,0.22673225566452623,0.11689559448625553
emg_only,BI,20.79591639617052,9.350847130042103,28.441539892765217,8.979131617602853,0.5061926113034557,0.2527857580141008,0.7866782861766616,0.0993913419594667,-0.2532302840263167,0.7867136554119251,0.2079591639617052,0.093508471300421
emg_only,FMA_UE,6.168093816198483,0.538095961846327,8.11512186242463,0.7995000343013203,0.885061077979242,0.06361327859192013,0.9082656544488485,0.05659831496712061,-0.5529816149912566,0.19105775146985418,0.30840469080992416,0.026904798092316343
imu_only,BI,25.480706761440064,1.7194575881589338,32.030710732521655,2.0250934084516587,0.7437251585149953,0.02319140025390453,0.7642080981676364,0.05176025459217921,-0.4602690589502742,0.3622808980794714,0.25480706761440064,0.017194575881589336
imu_only,FMA_UE,6.69577316124384,0.5325640304206515,8.680914359594036,0.6656298792047183,0.7901617562224729,0.055033184674675426,0.7486391745072392,0.02277353747035274,-0.7890871748414369,0.2840287340925692,0.33478865806219194,0.026628201521032555
tri,BI,6.3229999999999995,0.9140142230840833,9.1715,0.9516387619960279,0.9455,0.012662279942148363,0.92325,0.01621470525993815,0.879,0.030474032661705085,0.06325,0.008995369179009088
tri,FMA_UE,1.18125,0.14595061950308175,2.1702500000000002,0.6876207166745341,0.9400000000000001,0.031208973068654444,0.92875,0.028429737951658974,0.87525,0.0655457855243188,0.05925,0.007588368291888141
