kind,variant,task,ttype,metric,mean,std,n_folds
modality,emg_imu,hand_function,classification,CohenKappa,0.0595703865350418,0.05182321055734681,3
modality,emg_imu,hand_function,classification,WeightedKappa,0.039058546888056364,0.03831463995377322,3
modality,emg_imu,hand_tone,classification,Accuracy,0.32976827094474154,0.025145696933450784,3
modality,emg_imu,hand_tone,classification,MacroF1,0.1503113845219108,0.013852523946226936,3
modality,emg_imu,hand_tone,classification,CohenKappa,0.1107894672476214,0.017340598950840436,3
modality,emg_imu,hand_tone,classification,WeightedKappa,0.027150334725173364,0.03512947177400516,3
modality,emg_only,BI,regression,MAE,20.79591639617052,9.350847130042103,3
modality,emg_only,BI,regression,RMSE,28.441539892765217,8.979131617602853,3
modality,emg_only,BI,regression,PearsonR,0.5061926113034557,0.2527857580141008,3
modality,emg_only,BI,regression,SpearmanRho,0.7866782861766616,0.0993913419594667,3
modality,emg_only,BI,regression,R2,-0.2532302840263167,0.7867136554119251,3
modality,emg_only,BI,regression,NMAE,0.2079591639617052,0.093508471300421,3
modality,emg_only,FMA_UE,regression,MAE,6.168093816198483,0.538095961846327,3
modality,emg_only,FMA_UE,regression,RMSE,8.11512186242463,0.7995000343013203,3
modality,emg_only,FMA_UE,regression,PearsonR,0.885061077979242,0.06361327859192013,3
modality,emg_only,FMA_UE,regression,SpearmanRho,0.9082656544488485,0.05659831496712061,3
modality,emg_only,FMA_UE,regression,R2,-0.5529816149912566,0.19105775146985418,3
modality,emg_only,FMA_UE,regression,NMAE,0.30840469080992416,0.026904798092316343,3
modality,emg_only,hand_function,classification,Accuracy,0.3502673796791444,0.03813742049079263,3
modality,emg_only,hand_function,classification,MacroF1,0.19938266526501813,0.08802044694650488,3
modality,emg_only,hand_function,classification,CohenKappa,0.1280714371329258,0.11112890457828345,3
modality,emg_only,hand_function,classification,WeightedKappa,0.09931279095544217,0.08614556080650292,3
modality,emg_only,hand_tone,classification,Accuracy,0.25935828877005346,0.0717953025780618,3
modality,emg_only,hand_tone,classification,MacroF1,0.09946986691172732,0.041761569805423775,3
modality,emg_only,hand_tone,classification,CohenKappa,0.035613228018401104,0.03164379798959805,3
modality,emg_only,hand_tone,classification,WeightedKappa,0.018266574658504033,0.017086530351465935,3
modality,imu_only,BI,regression,MAE,25.480706761440064,1.7194575881589338,3
modality,imu_only,BI,regression,RMSE,32.030710732521655,2.0250934084516587,3
modality,imu_only,BI,regression,PearsonR,0.7437251585149953,0.02319140025390453,3
modality,imu_only,BI,regression,SpearmanRho,0.7642080981676364,0.05176025459217921,3
modality,imu_only,BI,regression,R2,-0.4602690589502742,0.3622808980794714,3
modality,imu_only,BI,regression,NMAE,0.25480706761440064,0.017194575881589336,3
modality,imu_only,FMA_UE,regression,MAE,6.69577316124384,0.5325640304206515,3
modality,imu_only,FMA_UE,regression,RMSE,8.680914359594036,0.6656298792047183,3
modality,imu_only,FMA_UE,regression,PearsonR,0.7901617562224729,0.055033184674675426,3
modality,imu_only,FMA_UE,regression,SpearmanRho,0.7486391745072392,0.02277353747035274,3
modality,imu_only,FMA_UE,regression,R2,-0.7890871748414369,0.2840287340925692,3
modality,imu_only,FMA_UE,regression,NMAE,0.33478865806219194,0.026628201521032555,3
modality,imu_only,hand_function,classification,Accuracy,0.319964349376114,0.015462880189748212,3
modality,imu_only,hand_function,classification,MacroF1,0.15695622895622893,0.05131321615094134,3
modality,imu_only,hand_function,classification,CohenKappa,0.10740653712293026,0.09323134181087844,3
modality,imu_only,hand_function,classification,WeightedKappa,0.2200476241405465,0.19829378537001757,3
modality,imu_only,hand_tone,classification,Accuracy,0.3095662507427213,0.11251617792285047,3
modality,imu_only,hand_tone,classification,MacroF1,0.1808506308506308,0.11226650306572002,3
modality,imu_only,hand_tone,classification,CohenKappa,0.16101678127246802,0.13946633936195546,3
modality,imu_only,hand_tone,classification,WeightedKappa,0.26384054020047815,0.22938098673562138,3
module,tri,BI,regression,MAE,6.3229999999999995,0.9140142230840833,4
module,tri,BI,regression,RMSE,9.1715,0.9516387619960279,4
module,tri,BI,regression,PearsonR,0.9455,0.012662279942148363,4
module,tri,BI,regression,SpearmanRho,0.92325,0.01621470525993815,4
module,tri,BI,regression,R2,0.879,0.030474032661705085,4
module,tri,BI,regression,NMAE,0.06325,0.008995369179009088,4
module,tri,FMA_UE,regression,MAE,1.18125,0.14595061950308175,4
module,tri,FMA_UE,regression,RMSE,2.1702500000000002,0.6876207166745341,4
module,tri,FMA_UE,regression,PearsonR,0.9400000000000001,0.031208973068654444,4
module,tri,FMA_UE,regression,SpearmanRho,0.92875,0.028429737951658974,4
module,tri,FMA_UE,regression,R2,0.87525,0.0655457855243188,4
module,tri,FMA_UE,regression,NMAE,0.05925,0.007588368291888141,4
module,tri,hand_function,classification,Accuracy,0.7299499999999999,0.025025653504620715,4
module,tri,hand_function,classification,MacroF1,0.691791471,0.0663250436273062,4
module,tri,hand_function,classification,CohenKappa,0.653510798,0.03589182465006268,4
module,tri,hand_function,classification,WeightedKappa,0.814035567,0.015668918129390388,4
module,tri,hand_tone,classification,Accuracy,0.800075,0.013069653145104247,4
module,tri,hand_tone,classification,MacroF1,0.774081543,0.009503230047050544,4
module,tri,hand_tone,classification,CohenKappa,0.750821441,0.017136385642132018,4
