variant,task,MAE_mean,MAE_std,RMSE_mean,RMSE_std,PearsonR_mean,PearsonR_std,SpearmanRho_mean,SpearmanRho_std,R2_mean,R2_std,NMAE_mean,NMAE_std
full,BI,6.3229999999999995,0.9140142230840833,9.1715,0.9516387619960279,0.9455,0.012662279942148363,0.92325,0.01621470525993815,0.879,0.030474032661705085,0.06325,0.008995369179009088
full,FMA_UE,1.18125,0.14595061950308175,2.1702500000000002,0.6876207166745341,0.9400000000000001,0.031208973068654444,0.92875,0.028429737951658974,0.87525,0.0655457855243188,0.05925,0.007588368291888141
wo_mdfan,BI,7.015368660645194,0.5083577187687794,9.778123748107717,0.8184658799513705,0.9328988010703264,0.006557652521351838,0.8974836419234474,0.01969845302665292,0.866590568859596,0.009957549825007368,0.07015368660645187,0.00508357718768781
wo_mdfan,FMA_UE,1.6263609027940464,0.25557725681178084,2.9357573856355326,0.8515585760831957,0.8911184055830329,0.061998865999070396,0.8408763086777307,0.069161607740257,0.7793516948891074,0.12541342406217165,0.08131804513970227,0.012778862840589027
wo_trialign,BI,6.513175484755885,1.0912958457172408,10.01835186039081,0.81322560983488,0.9373001439652476,0.010425597861219537,0.9141906763251142,0.020050899540069052,0.8567568141663058,0.03872776029289903,0.06513175484755883,0.010912958457172408
wo_trialign,FMA_UE,1.2865711913814308,0.038149957537081405,2.5815111033882454,0.8946601359208012,0.9230173488348646,0.04507747336998751,0.9038797040670334,0.04726208543973366,0.8356269219688276,0.08787661201406823,0.0643285595690715,0.0019074978768540338
wo_wbydtw,BI,6.441852940311761,1.2262100919816583,9.920524178813404,0.8213314644481253,0.9388646792752948,0.010994087922334394,0.91404924299881,0.021395521176882277,0.8595935976196986,0.03754715881665478,0.06441852940311757,0.012262100919816618
wo_wbydtw,FMA_UE,1.3219825430190502,0.025151235273253445,2.8100466886078426,0.638859440764621,0.9104925539622698,0.031508044937685366,0.8938949559914019,0.03893798557988862,0.8114467753313944,0.06576514480371129,0.06609912715095247,0.0012575617636626376
