fold,accuracy,macro_f1,cohen_kappa,weighted_kappa,precision_c0,recall_c0,f1_c0,support_c0,precision_c1,recall_c1,f1_c1,support_c1,precision_c2,recall_c2,f1_c2,support_c2,precision_c3,recall_c3,f1_c3,support_c3,precision_c4,recall_c4,f1_c4,support_c4
1,0.4117647058823529,0.2904589371980676,0.2584514721919302,0.5698569856985698,0.7142857142857143,0.45454545454545453,0.5555555555555556,11,0.3,0.5,0.375,6,0.0,0.0,0.0,5,0.35294117647058826,1.0,0.5217391304347826,6,0.0,0.0,0.0,6
2,0.5757575757575758,0.47212121212121205,0.4486873508353222,0.7167381974248926,0.5714285714285714,1.0,0.7272727272727273,8,0.0,0.0,0.0,7,0.5,0.25,0.3333333333333333,4,0.6363636363636364,0.7777777777777778,0.7,9,0.6,0.6,0.6,5
3,0.42424242424242425,0.3133333333333333,0.28260869565217395,0.6138297872340426,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.35714285714285715,0.8333333333333334,0.5,6,0.5,0.3333333333333333,0.4,6
