epoch,lr,train_mae,train_rmse,train_r2,train_pearson_r,train_spearman_r,train_nmae,train_ba_mean_diff,train_ba_loa_upper,train_ba_loa_lower,train_rounded_acc_1,train_tolerance_acc_1p5,train_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_1,val_tolerance_acc_1p5,val_loss,is_best
1,2.125e-05,5.877287928737811,6.552664940763798,-0.03120188225885978,0.17476862385674494,0.14919441999432978,0.29386439643689055,-1.2073840739122077,11.415935254953501,-13.830703402777916,0.05970149253731343,0.05970149253731343,6.082579635506246,6.286076430118445,6.719424532490075,-0.020359328589820702,-0.11811129795528122,-0.08897485058834056,0.3143038215059223,-0.9173987417510061,12.129349112153918,-13.96414659565593,0.030303030303030304,0.030303030303030304,5.787973672693426,True
2,3.25e-05,5.808211283897286,6.466914625713692,-0.004389187865406097,0.3202446034627579,0.31984803739535067,0.29041056419486433,-0.6972911464634226,11.903964814421332,-13.298547107348178,0.05970149253731343,0.05970149253731343,6.008491295487134,6.206419337879527,6.6482119471978525,0.0011536407133067028,0.13763992421995183,0.13103264248603075,0.31032096689397637,-0.1390854806611032,12.888558048681531,-13.166729010003738,0.0,0.0,5.707085653748175,False
3,4.375e-05,5.714044677677439,6.416085619058088,0.011337469004482736,0.43464541109894295,0.4607827663095654,0.28570223388387195,0.1168680119870314,12.690309494082445,-12.456573470108381,0.11940298507462686,0.11940298507462686,5.920561700792455,6.12897963957353,6.644606664558912,0.002236682900782716,0.2879910068034247,0.2903830811103469,0.30644898197867654,0.47797808502659656,13.467667877123773,-12.511711707070582,0.06060606060606061,0.06060606060606061,5.62801786095205,True
4,5.4999999999999995e-05,5.605774516489968,6.3193046323042985,0.04093872080214944,0.7201539991826653,0.7604715576788725,0.28028872582449843,0.35192013498562486,12.718535942000551,-12.014695672029303,0.11940298507462686,0.11940298507462686,5.8062843593198865,5.846216909813158,6.458576348673848,0.05732373196966056,0.500346809508688,0.487937410382764,0.2923108454906579,0.8451500950437604,13.395109800104851,-11.704809610017332,0.06060606060606061,0.06060606060606061,5.343413416183356,True
5,6.625e-05,4.767256729638398,5.434851254846393,0.2906132069262388,0.8404502926651805,0.8449483981689595,0.23836283648191992,0.14069345815857845,10.789431993406135,-10.508045077088978,0.13432835820895522,0.13432835820895522,4.922305558332757,3.4190703305331143,4.485216212183079,0.5453724556349591,0.7755509343211804,0.7027505148163847,0.17095351652665572,0.7087530945286606,9.38932591286118,-7.9718197238038595,0.21212121212121213,0.21212121212121213,3.0126391831070487,True
6,7.75e-05,2.214914627929232,3.03297275056301,0.7790750371042423,0.9069478880281127,0.8762472275645529,0.1107457313964616,0.2179902489505597,6.14724259990417,-5.71126210200305,0.373134328358209,0.373134328358209,2.9593427779069588,2.1176754958701856,3.6561828867379744,0.6979041208373629,0.8528112245563246,0.7386085525299533,0.10588377479350927,0.8403181487863715,7.81459711572656,-6.133960818153817,0.5757575757575758,0.5757575757575758,1.6885892632031683,True
7,8.875e-05,1.747549419972434,2.691410744321133,0.8260326542357906,0.9107216151479636,0.8840669351004486,0.0873774709986217,0.12983099738163734,5.398854820739501,-5.139192825976227,0.5223880597014925,0.5223880597014925,2.4491590542579766,2.059655543529626,3.609996915231236,0.7054882409361423,0.8595620414758176,0.7468190378008172,0.1029827771764813,0.775435953429251,7.685868081285806,-6.134996174427304,0.5757575757575758,0.5757575757575758,1.593639524183189,True
8,0.0001,1.456749549552576,2.5635698027903975,0.8421669066494055,0.9189343712686223,0.8944265476416099,0.0728374774776288,0.19847049286116414,5.207986482731424,-4.811045497009096,0.6268656716417911,0.6268656716417911,2.19203127071039,1.9447376944802024,3.5799501663696742,0.7103704026328403,0.8650531342023803,0.7501702562787207,0.09723688472401013,0.7504870241338556,7.611274456623863,-6.110300408356152,0.6060606060606061,0.6060606060606061,1.5268227759962125,True
9,9.995288696830197e-05,1.2915203606904442,2.4373741868325673,0.8573235849231373,0.9274400586504152,0.9152057704799623,0.0645760180345222,0.22917033309367166,4.985260424426586,-4.526919758239242,0.746268656716418,0.746268656716418,1.9954279963649921,1.8462320493929314,3.5660226403803694,0.7126195831599742,0.8617439205411281,0.762569764646964,0.09231160246964656,0.26078186251900415,7.231471723451794,-6.709907998413785,0.6666666666666666,0.6666666666666666,1.4822042984944401,True
10,9.98116375555414e-05,1.158751994816225,2.3737439932686124,0.864675780363679,0.931633072095754,0.9284052768065385,0.05793759974081125,0.293592582887678,4.910407402130232,-4.3232222363548765,0.7313432835820896,0.7313432835820896,1.864746415081309,1.7122139135996501,3.529565738781351,0.718465560773037,0.8625720120825053,0.7438029411707039,0.0856106956799825,0.6236138271562981,7.43272832789422,-6.1855006735816245,0.7272727272727273,0.7272727272727273,1.3338884343703588,True
