fold,accuracy,macro_f1,cohen_kappa,weighted_kappa,precision_c0,recall_c0,f1_c0,support_c0,precision_c1,recall_c1,f1_c1,support_c1,precision_c2,recall_c2,f1_c2,support_c2,precision_c3,recall_c3,f1_c3,support_c3,precision_c4,recall_c4,f1_c4,support_c4,precision_c5,recall_c5,f1_c5,support_c5
1,0.5588235294117647,0.2821869488536155,0.4014084507042255,0.6168446026097272,1.0,0.16666666666666666,0.2857142857142857,6,0.5882352941176471,1.0,0.7407407407407407,10,0.0,0.0,0.0,3,0.5,1.0,0.6666666666666666,8,0.0,0.0,0.0,5,0.0,0.0,0.0,2
2,0.5454545454545454,0.30518518518518517,0.4028950542822678,0.6429026098026736,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,0.5625,1.0,0.72,9,0.0,0.0,0.0,5,0.5,1.0,0.6666666666666666,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1
3,0.48484848484848486,0.2543939393939394,0.32328106151990355,0.5649717514124294,0.5,0.16666666666666666,0.25,6,0.47058823529411764,1.0,0.64,8,0.0,0.0,0.0,5,0.5,0.875,0.6363636363636364,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2
