epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,is_best
19,0.15076946305674238,6.508777083636404,0.20588235294117646,0.17175517980471539,-0.004376367614879584,0.19859578736208627,0.375,0.2727272727272727,0.3157894736842105,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.2857142857142857,0.3333333333333333,0.3076923076923077,6,False
20,0.25386915962906165,6.176927417848578,0.2647058823529412,0.2581578947368421,0.07002188183807445,0.2796610169491526,0.375,0.2727272727272727,0.3157894736842105,11,0.1,0.16666666666666666,0.125,6,0.0,0.0,0.0,5,0.2,0.3333333333333333,0.25,6,0.75,0.5,0.6,6,False
21,0.19875531131968852,6.3201400528910145,0.2647058823529412,0.23238095238095235,0.07508161044613715,0.2579365079365079,0.42857142857142855,0.2727272727272727,0.3333333333333333,11,0.125,0.16666666666666666,0.14285714285714285,6,0.0,0.0,0.0,5,0.25,0.3333333333333333,0.2857142857142857,6,0.3333333333333333,0.5,0.4,6,False
22,0.20778827664500862,6.562440032209502,0.2647058823529412,0.23329364134317693,0.07002188183807445,0.2668004012036108,0.375,0.2727272727272727,0.3157894736842105,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,False
23,0.17439153806564092,6.727599245378823,0.3235294117647059,0.3006929087424443,0.14348302300109528,0.34886128364389235,0.375,0.2727272727272727,0.3157894736842105,11,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.0,0.0,0.0,5,0.25,0.3333333333333333,0.2857142857142857,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,False
24,0.2326424415049633,6.859967723611378,0.29411764705882354,0.27111111111111114,0.1042810098792537,0.2739583333333333,0.4444444444444444,0.36363636363636365,0.4,11,0.0,0.0,0.0,6,0.25,0.2,0.2222222222222222,5,0.25,0.5,0.3333333333333333,6,0.5,0.3333333333333333,0.4,6,False
25,0.18696329108389925,6.8977187338826855,0.23529411764705882,0.2137132217627574,0.03387978142076509,0.22487046632124352,0.375,0.2727272727272727,0.3157894736842105,11,0.14285714285714285,0.16666666666666666,0.15384615384615385,6,0.0,0.0,0.0,5,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.4,0.3333333333333333,0.36363636363636365,6,False
26,0.2112250210551039,7.615253881538902,0.20588235294117646,0.18277310924369747,0.005417118093174467,0.26606425702811254,0.3333333333333333,0.18181818181818182,0.23529411764705882,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.2,0.3333333333333333,0.25,6,0.375,0.5,0.42857142857142855,6,False
27,0.1672131377868036,7.241683603659926,0.20588235294117646,0.19021671826625386,-0.003278688524590123,0.22971548998946267,0.375,0.2727272727272727,0.3157894736842105,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.18181818181818182,0.3333333333333333,0.23529411764705882,6,0.5,0.3333333333333333,0.4,6,False
28,0.2007756650650617,7.521750060414257,0.2647058823529412,0.21939393939393942,0.06593406593406592,0.2510245901639344,0.4444444444444444,0.36363636363636365,0.4,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.25,0.5,0.3333333333333333,6,0.4,0.3333333333333333,0.36363636363636365,6,False
