epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_1,val_tolerance_acc_1p5,is_best
1,1.880761149792529,2.9410204268921394,3.4638104583277847,4.645795338548528,0.4338486799585054,0.8550857665227517,0.8390124140740257,0.17319052291638923,-3.1468331091331714,3.5519111985081264,-9.84557741677447,0.24242424242424243,0.24242424242424243,True
2,0.7588318368725813,3.304895644618029,3.8002725315816477,4.933426891203507,0.3615751693290409,0.862917776716534,0.8425341531696794,0.19001362657908238,-3.583594757499117,3.062091405563869,-10.229280920562102,0.2727272727272727,0.2727272727272727,False
3,0.5697712829811452,2.663805340128866,3.1649330854415894,4.394538382606219,0.4934306601729206,0.8528999300671707,0.8473975071589152,0.15824665427207946,-2.701488881400137,4.092088666032099,-9.495066428832374,0.36363636363636365,0.36363636363636365,True
4,0.49196097033089076,2.6661734634728145,3.14516404542056,4.329899623133007,0.5082232035158105,0.8589797284772795,0.8557826002438045,0.157258202271028,-2.6393899375742134,4.0881945038987615,-9.366974379047189,0.36363636363636365,0.36363636363636365,False
5,0.451216482612031,2.45042384922448,2.9230608037023833,4.1496905510203295,0.5483065423502108,0.858323454740299,0.8549440909353154,0.14615304018511915,-2.446121197758299,4.123950465169818,-9.016192860686415,0.3333333333333333,0.3333333333333333,True
6,0.4568377116203901,2.431044113997257,2.9504046638806662,4.184589244684675,0.5406771557281604,0.8524839316845781,0.851422351839662,0.14752023319403332,-2.3953707055612043,4.329739277484412,-9.12048068860682,0.36363636363636365,0.36363636363636365,True
7,0.38236582826322585,2.4420329417017372,2.974837258006587,4.203549655196015,0.5365053341524302,0.85011727238734,0.8391801159357235,0.14874186290032937,-2.3841146718372,4.401513726062015,-9.169743069736416,0.36363636363636365,0.36363636363636365,False
8,0.35318949023326535,3.0415134185868684,3.5742870207988853,4.800465060985737,0.39552408302581943,0.8501268042239385,0.8450496810951461,0.17871435103994426,-3.169846444418936,3.8960930976534884,-10.235785986491361,0.2727272727272727,0.2727272727272727,False
9,0.3206885641783624,2.7626947233933166,3.2838025147264656,4.499192643680729,0.46901585387437594,0.8541033995083162,0.8432049606164705,0.16419012573632327,-2.800599829717116,4.101098450331115,-9.702298109765346,0.30303030303030304,0.30303030303030304,False
10,0.31310851436330756,2.7379199146039106,3.277683790886041,4.4593803092272575,0.4783713937664851,0.8526957241132014,0.8435403643398661,0.16388418954430203,-2.7163477395520066,4.215384974056727,-9.648080453160741,0.36363636363636365,0.36363636363636365,False
11,0.2911403593704549,2.2723706191066992,2.793923775355021,4.0248351102861895,0.5750786405921386,0.8542744845370349,0.8479006127440085,0.13969618876775106,-2.156364672111742,4.504576180006004,-8.81730552422949,0.42424242424242425,0.42424242424242425,True
12,0.315066726351926,2.5427537774497813,3.0627582398327915,4.248719766015634,0.5264906590472664,0.849733763296529,0.8529316685949422,0.15313791199163956,-2.3765562772750854,4.5263177197199935,-9.279430274270165,0.36363636363636365,0.36363636363636365,False
13,0.26580520250014406,2.529108414889285,3.055593978274952,4.237145880176215,0.5290669073712575,0.8547391699654269,0.8484037183291019,0.1527796989137476,-2.4183284694498237,4.4009767608042205,-9.237633699703867,0.36363636363636365,0.36363636363636365,False
14,0.30075507401627727,2.601059140995935,3.1363650777123193,4.306692516008173,0.5134806612996667,0.8568636057042908,0.8473975071589152,0.15681825388561596,-2.5203283230463662,4.324407454720385,-9.365064100813116,0.36363636363636365,0.36363636363636365,False
15,0.2616059412818346,2.5234840267027416,3.0396273930867515,4.251340741247814,0.5259062764010807,0.85407103865475,0.8489068239141954,0.15198136965433756,-2.454908985080141,4.348103906934371,-9.257921877094653,0.36363636363636365,0.36363636363636365,False
16,0.2796423973710234,2.4336814074579514,2.957871848886663,4.145447575790791,0.5492297650941134,0.8537713848948488,0.8485714201907997,0.14789359244433314,-2.298631053982359,4.462951618261856,-9.060213726226573,0.36363636363636365,0.36363636363636365,False
17,0.31844997149868987,2.4449119605236884,2.9808639613064853,4.179646338803066,0.5417616342970255,0.8499715117911567,0.851422351839662,0.14904319806532426,-2.2916270313840923,4.559376007431821,-9.142630070200006,0.36363636363636365,0.36363636363636365,False
18,0.26198755719546063,2.4502083937722174,2.9515176686373623,4.166262305238984,0.5446916707268482,0.8450459625173241,0.8403540289676081,0.14757588343186812,-2.205750176400849,4.721791496732704,-9.133291849534402,0.36363636363636365,0.36363636363636365,False
19,0.28865769870732144,2.6113255892061824,3.133761185588259,4.318247722732974,0.5108664168746122,0.8486273798566101,0.8453850848185417,0.15668805927941293,-2.484988136724992,4.436919779437337,-9.406896052887321,0.36363636363636365,0.36363636363636365,False
20,0.2406750107063583,2.2176952907646243,2.6916592337868432,3.924709272461646,0.5959572119405949,0.8458899252361618,0.8408571345527015,0.13458296168934217,-1.8264903660976526,4.98215463671731,-8.635135368912616,0.3939393939393939,0.3939393939393939,True
21,0.30450289774065215,2.649677749203913,3.1896999424154107,4.383048014136293,0.4960762435010586,0.8453096596025451,0.8482360164674041,0.15948499712077052,-2.5130282568209097,4.525473072072299,-9.551529585714118,0.36363636363636365,0.36363636363636365,False
22,0.29046656797959736,2.4046791686930438,2.9219572905338174,4.129277496254488,0.5527395306356755,0.8481191803470305,0.8462235941270306,0.14609786452669088,-2.190558838121819,4.670108822371651,-9.051226498615287,0.36363636363636365,0.36363636363636365,False
23,0.26792798183617456,2.336725345321677,2.7967169935053047,3.9930684540688772,0.581759690377196,0.8504981592377393,0.8489068239141954,0.13983584967526524,-1.978442452170632,4.819780504188725,-8.77666540852999,0.45454545454545453,0.45454545454545453,False
24,0.29538797141418827,2.456843580045935,2.973774873849117,4.175640230406455,0.5426396381516503,0.8471263562629506,0.8489068239141954,0.14868874369245585,-2.233423630396525,4.68173586978123,-9.14858313057428,0.36363636363636365,0.36363636363636365,False
25,0.2573828138929991,2.2481596960657924,2.751708417227774,3.9775644831200796,0.5850012060958432,0.8449640069966136,0.8494099294992885,0.1375854208613887,-1.913731990438519,4.920641889395381,-8.748105870272418,0.42424242424242425,0.42424242424242425,False
26,0.2770033060789655,2.3054520833757564,2.786991202470028,4.023547005156898,0.5753505800788137,0.847166986878881,0.8408571345527015,0.1393495601235014,-2.020429080182856,4.799356159839303,-8.840214320205014,0.3939393939393939,0.3939393939393939,False
27,0.2396807477489781,2.502766659043052,2.993373878074415,4.196860550312306,0.5379792777874062,0.849170911794859,0.8430372587547728,0.14966869390372076,-2.2993861183975683,4.581989925324984,-9.180762162120121,0.36363636363636365,0.36363636363636365,False
28,0.2691488211316552,2.355462676072211,2.8452908595403037,4.057028808831233,0.5682537643091174,0.851658685760388,0.8408571345527015,0.14226454297701518,-2.112019231825164,4.677296716719804,-8.901335180370133,0.3939393939393939,0.3939393939393939,False
29,0.2705839021233332,2.4819439318369736,2.954993547815265,4.161505647629372,0.5457307361265893,0.8485624063759828,0.8485714201907997,0.14774967739076325,-2.2287334564960366,4.659454034655637,-9.11692094764771,0.36363636363636365,0.36363636363636365,False
30,0.24496813161456168,2.4587553938116993,2.9248972047458994,4.131999479743681,0.5521496759332396,0.8494474496155109,0.8457204885419373,0.14624486023729497,-2.1694739551255195,4.723153143817862,-9.062101054068902,0.36363636363636365,0.36363636363636365,False
31,0.27842458830173333,2.2240259165565175,2.685281663229971,3.9023559006202024,0.6005465956428924,0.8558000020046136,0.851422351839662,0.13426408316149857,-1.9356507424152258,4.705724091898639,-8.57702557672909,0.3939393939393939,0.3939393939393939,False
32,0.2092515775479784,2.3938690710925696,2.901031830094077,4.103863066499303,0.5582280888650056,0.8470343188089783,0.8452173829568439,0.14505159150470387,-2.106253006241538,4.79711917979086,-9.009625192273937,0.36363636363636365,0.36363636363636365,False
33,0.2391995483124397,2.1152164242371465,2.60867242379622,3.8253489357488,0.61615623641547,0.8515211870749544,0.845888190403635,0.130433621189811,-1.7590546680219246,4.898895742547689,-8.417005078591538,0.3939393939393939,0.3939393939393939,True
34,0.26896980873387843,2.1056514507498254,2.585167227369366,3.8101450845846254,0.6192013474101216,0.8525865524223528,0.8482360164674041,0.1292583613684683,-1.7182711326714717,4.947097809842026,-8.38364007518497,0.3939393939393939,0.3939393939393939,True
35,0.269974386313958,2.2937272923462317,2.762846813057408,3.9848654826526944,0.5834763097538931,0.8494649830639843,0.8504161406694752,0.1381423406528704,-1.9318725737658413,4.899232528963857,-8.76297767649554,0.42424242424242425,0.42424242424242425,False
36,0.22326240549559023,2.6260212729148793,3.1482200478062485,4.3087737568891225,0.5130103195709262,0.8517836796065592,0.8473975071589152,0.15741100239031242,-2.4633101044279155,4.465680669596116,-9.392300878451948,0.36363636363636365,0.36363636363636365,False
37,0.24521663775621214,1.936034332215786,2.3760073401711206,3.601885285939671,0.6596920218558672,0.8513232624087412,0.8472298052972174,0.11880036700855603,-1.2867319078156443,5.3071166878082785,-7.8805805034395675,0.45454545454545453,0.45454545454545453,True
38,0.22451731863047056,2.2029500712951022,2.673534729263999,3.8858687229786835,0.6039147901437537,0.8525617566937994,0.8522608611481509,0.13367673646319994,-1.8338381557753591,4.880989503058728,-8.548665814609446,0.3939393939393939,0.3939393939393939,False
39,0.21240033371865155,2.2108642624183132,2.647621284831654,3.8892982535682203,0.6032153399707969,0.8457557239960625,0.8477329108823107,0.1323810642415827,-1.6935022816513523,5.168930746519153,-8.555935309821857,0.42424242424242425,0.42424242424242425,False
40,0.2594183509418769,2.5055052527762722,3.007231506434354,4.1949106165564265,0.538408503634798,0.8572873180495784,0.8546086872119198,0.1503615753217177,-2.3692189527280405,4.415913971596658,-9.15435187705274,0.36363636363636365,0.36363636363636365,False
