fold,mae,rmse,r2,pearson_r,spearman_r,nmae,ba_mean_diff,ba_loa_upper,ba_loa_lower,rounded_acc_1,tolerance_acc_1p5,loss
1,2.981048054554883,3.923729347049247,0.6577691389284823,0.8978756822196561,0.862002894693545,0.14905240272774417,-2.122813873431262,4.344982178719981,-8.590609925582505,0.14705882352941177,0.14705882352941177,2.497133098956307
2,2.9458835558457808,4.073599403947673,0.6249876114160193,0.847772524347144,0.7483270861158737,0.14729417779228904,-1.673649751778805,5.60560886738563,-8.95290837094324,0.24242424242424243,0.24242424242424243,2.4518963459766274
3,2.3760073401711206,3.601885285939671,0.6596920218558672,0.8513232624087412,0.8472298052972174,0.11880036700855603,-1.2867319078156443,5.3071166878082785,-7.8805805034395675,0.45454545454545453,0.45454545454545453,1.936034332215786
