fold,accuracy,macro_f1,cohen_kappa,weighted_kappa,precision_c0,recall_c0,f1_c0,support_c0,precision_c1,recall_c1,f1_c1,support_c1,precision_c2,recall_c2,f1_c2,support_c2,precision_c3,recall_c3,f1_c3,support_c3,precision_c4,recall_c4,f1_c4,support_c4,precision_c5,recall_c5,f1_c5,support_c5,loss
1,0.35294117647058826,0.24206349206349206,0.23906408952187164,0.3755924170616114,0.0,0.0,0.0,6,0.0,0.0,0.0,10,0.16666666666666666,1.0,0.2857142857142857,3,0.5384615384615384,0.875,0.6666666666666666,8,0.6666666666666666,0.4,0.5,5,0.0,0.0,0.0,2,0.8740256372620078
2,0.18181818181818182,0.05128205128205129,0.0,0.0,0.18181818181818182,1.0,0.3076923076923077,6,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,7,0.0,0.0,0.0,5,0.0,0.0,0.0,1,0.6669527823274786
3,0.3939393939393939,0.2492063492063492,0.24398625429553256,0.4159292035398231,0.2727272727272727,1.0,0.42857142857142855,6,0.0,0.0,0.0,8,0.0,0.0,0.0,5,0.6,0.75,0.6666666666666666,8,1.0,0.25,0.4,4,0.0,0.0,0.0,2,0.7224228081679104
