epoch,lr,train_mae,train_rmse,train_r2,train_pearson_r,train_spearman_r,train_nmae,train_ba_mean_diff,train_ba_loa_upper,train_ba_loa_lower,train_rounded_acc_1,train_tolerance_acc_1p5,train_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_1,val_tolerance_acc_1p5,val_loss,is_best
1,2.125e-05,6.226345332700815,6.746358997152714,-0.019528692070610587,0.2825610602668186,0.26425779579581865,0.3113172666350407,-1.0224706165826143,12.047645554262033,-14.092586787427262,0.029850746268656716,0.029850746268656716,6.4334192162129415,5.5165926470901026,6.262900150237475,-0.0288767467920501,0.5447227282036172,0.5014285664763816,0.27582963235450514,-1.2328876582058994,10.802199649171683,-13.267974965583484,0.09090909090909091,0.09090909090909091,5.020410208509426,True
2,3.25e-05,6.16692585019923,6.667461453378418,0.00417830405428965,0.446782045256222,0.41813980495918496,0.3083462925099615,-0.5392000497277103,12.486221101134126,-13.564621200589547,0.029850746268656716,0.029850746268656716,6.352961414963452,5.281007564429081,6.057674251550495,0.0374479843681772,0.7207083694658136,0.7214534090238774,0.26405037822145405,-0.3053449572938861,11.552603498636067,-12.16329341322384,0.18181818181818182,0.18181818181818182,4.8044716428777186,True
3,4.375e-05,5.912118385087198,6.426075351127214,0.0749777391063724,0.8102023878907232,0.801294606145235,0.2956059192543599,0.1160338672239389,12.709088100386749,-12.477020365938872,0.029850746268656716,0.029850746268656716,6.066933237616696,5.04254286216967,5.754937385845817,0.13125247135944196,0.8112696079219911,0.8499130350843819,0.2521271431084835,-0.7860465483231978,10.387919320136508,-11.960012416782902,0.15151515151515152,0.15151515151515152,4.556742108711089,False
4,5.4999999999999995e-05,4.371897177909737,5.028688142967911,0.4335390665098816,0.8623639205499152,0.8225176415959474,0.21859485889548685,0.786122300731602,10.521171434102174,-8.94892683263897,0.08955223880597014,0.08955223880597014,4.573465775375936,6.570841471354167,7.850535422824442,-0.616631108412377,0.6670551339122793,0.6211676957286012,0.32854207356770837,-4.897048430009321,7.129404098386183,-16.923500958404826,0.15151515151515152,0.15151515151515152,6.085840817081808,False
5,6.625e-05,2.2254608531496416,3.2618530326083253,0.7616641704862229,0.8859479416154892,0.8457209602791016,0.11127304265748209,0.49321159320091135,6.8129359544223345,-5.826512768020512,0.5223880597014925,0.5223880597014925,2.8278781727178774,3.4828488321015327,4.6548098045660495,0.4316494857195028,0.7909744159713648,0.882782599977148,0.17414244160507664,2.701169071775494,10.131337505898095,-4.728999362347108,0.36363636363636365,0.36363636363636365,3.051432698573729,True
6,7.75e-05,1.8941562478222065,2.908829507658854,0.8104616519757384,0.9012716940672922,0.854862267725827,0.09470781239111033,0.11718260174366965,5.813860255153036,-5.579495051665696,0.5522388059701493,0.5522388059701493,2.4991353405055716,7.629195856325554,9.165916273517109,-1.2037592497825886,0.8338155975945054,0.8187204888085937,0.3814597928162777,-7.012765848275387,4.555408578709847,-18.58094027526062,0.15151515151515152,0.15151515151515152,7.150616778907451,False
7,8.875e-05,1.6460037089105863,2.38871622553415,0.8721826892237465,0.9367852926572845,0.8959281412228232,0.08230018544552932,0.2176890159720805,4.880090569333351,-4.44471253738919,0.5522388059701493,0.5522388059701493,2.219391874768841,8.912803342848113,10.464805017190944,-1.872596706524741,0.8013428916962091,0.8022857063622106,0.4456401671424056,-8.582289432034347,3.1542410003162082,-20.318819864384903,0.06060606060606061,0.06060606060606061,8.401649503394811,False
8,0.0001,1.4920590991404519,2.111165237321256,0.9001598995914105,0.9509901753887278,0.9043093399540658,0.0746029549570226,0.19581248866977977,4.315859359210889,-3.92423438187133,0.6119402985074627,0.6119402985074627,2.0729184552804747,7.471779187520345,8.80035936560423,-1.0314829917514774,0.8428129551841782,0.8668509231158583,0.3735889593760172,-7.004939512772993,3.4360206633175947,-17.44589968886358,0.09090909090909091,0.09090909090909091,6.986978313755809,False
9,9.998052800596113e-05,1.288181071850791,1.8488313024992393,0.9234306204519125,0.9630904247071889,0.9195915257074537,0.06440905359253954,0.18789020047258975,3.792838260649754,-3.417057859704574,0.6567164179104478,0.6567164179104478,1.8591155920455704,3.5844034353892007,4.461069318142637,0.47797618091032457,0.8572060084746117,0.8792608608814946,0.17922017176946003,-2.059316714604696,5.697023687070953,-9.815657116280343,0.3333333333333333,0.3333333333333333,3.0991529933731967,False
10,9.992212734338192e-05,1.1650585452122475,1.6280635732163025,0.9406250474462091,0.9721761812424103,0.9442550532387718,0.058252927260612375,0.23973364616507914,3.395953710576275,-2.916486418246117,0.7164179104477612,0.7164179104477612,1.7583763670565478,7.273385481400923,9.142542190360448,-1.1925339295222366,0.7053046005570137,0.7865217313626187,0.3636692740700461,7.068927996086352,18.43292867102406,-4.2950726788513585,0.24242424242424243,0.24242424242424243,6.79047402113375,False
11,9.982484395882215e-05,0.9204694477479849,1.3329191960400024,0.9602013627275057,0.9812303932194508,0.9613174936152638,0.04602347238739925,0.11488239444903474,2.717682412983172,-2.487917624085102,0.8059701492537313,0.8059701492537313,1.5458842110278002,5.119691455002987,6.218022896003294,-0.014184596605065103,0.8453945263868047,0.8324720414678122,0.25598457275014935,-4.577301361344078,3.671509702499139,-12.826112425187294,0.15151515151515152,0.15151515151515152,4.653528581966054,False
