epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_1,val_tolerance_acc_1p5,is_best
1,6.806715056196374,4.864017525648611,5.290755445306951,6.2028180252490595,-0.009230709456407249,0.6345026735863895,0.7347018560980026,0.2645377722653476,0.7685386484319513,12.832382402083981,-11.295305105220079,0.18181818181818182,0.18181818181818182,True
2,4.219471317262792,2.8641542367249104,3.3141981905156914,3.94468678078097,0.5918334356264622,0.7753284111559118,0.7276583779066956,0.16570990952578457,0.5566421277595289,8.210863312910803,-7.097579057391745,0.24242424242424243,0.24242424242424243,True
3,1.7671484705820606,2.7520060299909814,3.1923946756305117,4.020584570221401,0.5759756669288149,0.7632795608694005,0.7424161417361008,0.15961973378152558,-0.25632158915201825,7.6079935896487925,-8.12063676795283,0.3333333333333333,0.3333333333333333,True
4,1.5180891650826183,2.777056073185734,3.244395631732363,3.80474159392017,0.6202806674150869,0.8070322855784267,0.7841739052988497,0.16221978158661815,-0.949036287538933,6.272543408918476,-8.170615983996342,0.2727272727272727,0.2727272727272727,False
5,1.20863526795634,2.523596903591445,2.92959117528164,3.4079921669101365,0.6953441286736197,0.8686434676526866,0.8403540289676081,0.146479558764082,-1.4013194206989172,4.687538008097898,-7.490176849495733,0.21212121212121213,0.21212121212121213,True
6,0.9611911230567676,2.1156051231265973,2.5373689622590034,2.9828553925925374,0.7666129387897216,0.8795967813629497,0.850583842531173,0.12686844811295017,-0.18989006678263345,5.644647748897955,-6.024427882463223,0.30303030303030304,0.30303030303030304,True
7,0.7789156642719288,2.1335107488360143,2.5390207514618384,3.1340189868322637,0.7423586162997503,0.8624833004040946,0.8346521656698833,0.12695103757309192,0.23956054990941827,6.364265994889851,-5.885144895071014,0.36363636363636365,0.36363636363636365,False
8,0.7409829730788867,2.076796347450352,2.50240396008347,3.1528215090482044,0.7392579078774061,0.8624696449268119,0.8324720414678122,0.1251201980041735,0.37502296765645343,6.510681187758976,-5.76063525244607,0.3333333333333333,0.3333333333333333,True
9,0.618865864660906,1.9534423612368603,2.322641600262035,2.922203826952055,0.7760075464975004,0.8885549585777927,0.8650062026371829,0.11613208001310175,-0.4918189012643063,5.153998224848708,-6.1376360273773205,0.3939393939393939,0.3939393939393939,True
10,0.5460470711043225,1.6664246558691516,2.0685716542330654,2.6329369488790437,0.8181583787526439,0.9139387757580334,0.8953602396044821,0.10342858271165327,-0.5504980665264707,4.49600100702715,-5.5969971400800915,0.5151515151515151,0.5151515151515151,True
11,0.47068808309719967,1.7516257593577558,2.085704864877643,2.6478444727344534,0.8160933976515141,0.9061798013656025,0.8884844632748728,0.10428524324388215,-0.3290334506468339,4.8205163446172365,-5.478583245910904,0.36363636363636365,0.36363636363636365,False
12,0.46993669069821564,1.6780562129210341,1.9801472244840679,2.558021725422071,0.8283590799720735,0.9129871157826752,0.904080736412767,0.0990073612242034,0.026375907840150776,5.0398319583633535,-4.987080142683053,0.48484848484848486,0.48484848484848486,False
13,0.4042878717079814,1.6980491398382143,1.9778927853613189,2.576807786943063,0.8258287675629614,0.9129263013765557,0.9057577550297449,0.09889463926806594,0.10164635470419218,5.148258674430958,-4.944965965022575,0.45454545454545453,0.45454545454545453,False
14,0.40842345292628995,1.662689463162061,2.0222817262013755,2.4986877500784965,0.8362292447626154,0.9308744984842791,0.9211863263059412,0.10111408631006877,-0.8855796004786636,3.693942361281755,-5.465101562239083,0.48484848484848486,0.48484848484848486,True
15,0.3669346401569855,1.4720938404598696,1.7382171948750813,2.246817280338216,0.8675817368353028,0.9401520706957933,0.9253788728483858,0.08691085974375407,-0.2184269211509011,4.164475614620468,-4.6013294569222705,0.5151515151515151,0.5151515151515151,True
16,0.36987911929464456,1.3455972988271352,1.6409593278711492,2.130219587395734,0.8809687144912532,0.9447650259591511,0.9250434691249902,0.08204796639355746,-0.14473644169894131,4.020845454550954,-4.310318337948837,0.5757575757575758,0.5757575757575758,True
17,0.35254808738827703,1.5166868580843915,1.84676532311873,2.3707858756187603,0.8525662069445904,0.9359692675482337,0.9206832207208479,0.0923382661559365,0.2054848743207527,4.834738347499437,-4.423768598857931,0.45454545454545453,0.45454545454545453,False
18,0.3228551093322128,1.3330990299469594,1.6222841811902595,1.9924979389799289,0.8958622624501889,0.9567844628310612,0.9552298042305918,0.08111420905951297,0.1030055537368312,4.003079477234274,-3.7970683697606114,0.48484848484848486,0.48484848484848486,True
19,0.3235066176498707,1.331197953610822,1.59115469455719,2.0886095497974426,0.885573425949296,0.948460333946821,0.9330931584864841,0.0795577347278595,-0.49262726306915283,3.4855490755217367,-4.470803601660043,0.5757575757575758,0.5757575757575758,True
20,0.2839197235742575,1.3203346554754358,1.582715099508112,2.058799879740161,0.8888164222731739,0.9480246171710356,0.9579130340177564,0.0791357549754056,0.1522695729226777,4.176465529120456,-3.8719263832751007,0.5757575757575758,0.5757575757575758,True
21,0.31296983333072853,1.3222473853352394,1.617177128791809,2.0055277252308366,0.8944958077292329,0.9510739156755433,0.9580807358794543,0.08085885643959045,-0.16451469695929324,3.75307198203392,-4.082101375952506,0.5454545454545454,0.5454545454545454,False
22,0.3078878466169632,1.4215565947364226,1.7696135622082334,2.170276293043751,0.8764500911481627,0.9494276041667706,0.9428198664649557,0.08848067811041167,-0.4360339930563262,3.730970971021934,-4.603038957134586,0.48484848484848486,0.48484848484848486,False
23,0.2745441465995353,1.3833689014568473,1.6643112789500842,2.1147060925611756,0.882696111299985,0.9498976221706982,0.9433229720500491,0.0832155639475042,0.15529236649021957,4.288925460865067,-3.9783407278846274,0.5454545454545454,0.5454545454545454,False
24,0.2752032836741624,1.437332168833889,1.768816944324609,2.1957764218362787,0.873529681830626,0.9448973120342294,0.9421490590181645,0.08844084721623044,-0.014779542431686863,4.288844753293423,-4.318403838156797,0.45454545454545453,0.45454545454545453,False
25,0.2893149155475876,1.4042584609296738,1.6629477486465916,2.1430454178218628,0.8795310495028257,0.9530525477339633,0.9478509223158893,0.08314738743232958,0.4821720773523504,4.57484438876088,-3.610500234056179,0.5151515151515151,0.5151515151515151,False
