epoch,lr,train_mae,train_rmse,train_r2,train_pearson_r,train_spearman_r,train_nmae,train_ba_mean_diff,train_ba_loa_upper,train_ba_loa_lower,train_rounded_acc_5,train_tolerance_acc_10,train_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_5,val_tolerance_acc_10,val_loss,is_best
1,2.125e-05,25.663307161473515,31.018546152476777,-0.25683541252375175,0.12372941207553502,0.11273186547144794,0.25663307161473514,14.110293915022664,68.25207218384661,-40.03148435380128,0.14925373134328357,0.26865671641791045,25.814875895941434,23.742771322076972,27.855772992309326,-0.2446174000111745,0.059813636718805976,0.09726306144962449,0.23742771322076972,12.377438920916934,61.28888822292073,-36.53401038108686,0.06060606060606061,0.12121212121212122,23.199745516102723,True
2,3.25e-05,25.24409362451354,29.749352012299997,-0.15608709423944345,0.401243348041936,0.3795492956444594,0.2524409362451354,11.505970428239054,65.27704743831353,-42.26510658183542,0.11940298507462686,0.26865671641791045,25.373797744067748,22.685290654500324,26.04179137993623,-0.08779522985228971,0.3109893488104893,0.1916802157656111,0.22685290654500323,7.7894254164262255,56.49452822341002,-40.91567739055757,0.09090909090909091,0.18181818181818182,22.15991727511088,True
3,4.375e-05,24.34688277742756,28.336630781136623,-0.04889485439899777,0.5934338233779248,0.6110579526122802,0.2434688277742756,9.535646353194963,61.83629504455213,-42.765002338162205,0.05970149253731343,0.23880597014925373,24.497075584753237,21.570246609774504,24.441578970113333,0.0417828125606623,0.5967860385455619,0.6518801399050564,0.21570246609774504,1.1270520759351326,48.981588451834476,-46.72748429996421,0.12121212121212122,0.21212121212121213,21.087918836179405,True
4,5.4999999999999995e-05,21.51941678061414,25.143231932617223,0.17419456850173254,0.6526824995847407,0.6893217299548514,0.2151941678061414,7.557799809014619,54.55947330310617,-39.44387368507693,0.11940298507462686,0.22388059701492538,21.82634452136595,22.350127017859258,25.642217605854857,-0.054670022299054155,0.6058782770583836,0.6492016390733972,0.2235012701785926,-8.33211748527758,39.199363280043656,-55.86359825059881,0.09090909090909091,0.21212121212121213,21.90564733996536,False
5,6.625e-05,16.61508057722405,20.25295093952829,0.4641883485273949,0.7174671738034285,0.7295545157498817,0.16615080577224048,3.5019613949220574,42.599824453497405,-35.595901663653294,0.16417910447761194,0.3582089552238806,17.558556334652117,22.948129451636113,27.070217612398952,-0.17540878717782005,0.6679858730700731,0.7677253008743166,0.22948129451636112,-14.57693218462395,30.131253391293825,-59.28511776054172,0.09090909090909091,0.21212121212121213,22.515385066138375,False
6,7.75e-05,13.44155264612454,17.61211241560916,0.5948102695462674,0.7750059780300593,0.761000140866296,0.1344155264612454,1.147793257414405,35.59414917689641,-33.298562662067596,0.3283582089552239,0.44776119402985076,15.070926105442332,18.936160694469105,22.214490296663605,0.20845037944625588,0.7227751669137839,0.7908273705473772,0.18936160694469106,-10.16651471455892,28.54661409799403,-48.879643527111874,0.12121212121212122,0.18181818181818182,18.611762585302795,True
7,8.875e-05,12.228216324279558,16.33434368738937,0.6514710078448742,0.8074913670557888,0.7895434008382924,0.12228216324279557,0.5909932584904912,32.58534493773508,-31.403358420754095,0.31343283582089554,0.5223880597014925,13.655433990706259,29.68621862295902,36.6633521626821,-1.1561043702487126,0.6530193694001869,0.7193448796024724,0.2968621862295902,-27.455313350215103,20.169345686244203,-75.07997238667441,0.18181818181818182,0.30303030303030304,29.102318094956754,True
8,0.0001,11.318833497033191,15.547662580213206,0.6842337236866252,0.827232831156811,0.7981704310261821,0.11318833497033191,0.2425270187320994,30.712237949829188,-30.227183912364985,0.34328358208955223,0.5970149253731343,12.714248842267848,34.71012745481549,42.30585507164979,-1.870822846040661,0.2681358421864113,0.14999604657291488,0.3471012745481549,-34.16244233738292,14.747821443367286,-83.07270611813313,0.21212121212121213,0.2727272727272727,34.14682756289087,True
9,9.998052800596113e-05,10.433677413570347,14.226613558477446,0.7356139103381366,0.8577130441011501,0.8195278352268275,0.10433677413570347,-0.2102471501079958,27.670870275905763,-28.091364576121755,0.3283582089552239,0.6865671641791045,11.880154287993019,35.43323011109323,43.02602340926852,-1.9693942106530762,0.044752212130811334,0.029630915450229833,0.3543323011109323,-35.041294531388715,13.893840159645137,-83.97642922242257,0.21212121212121213,0.2727272727272727,34.8944895782856,False
10,9.992212734338192e-05,9.932126415309622,13.600552737750295,0.75837122641906,0.8709851430898814,0.8328987312024893,0.09932126415309622,-0.33958354636804383,26.309189255619184,-26.98835634835527,0.3582089552238806,0.7313432835820896,11.445907279626647,23.02773227113666,28.07171608170257,-0.2639892042246159,0.6464728976912862,0.6421705743902918,0.2302773227113666,15.907306671142578,61.24134140212855,-29.42672805984339,0.09090909090909091,0.30303030303030304,22.56652063215622,False
