cal_bin,mean_true,mean_pred,count,mean_abs_error
0,0.0,16.33002269268036,7,16.33002269268036
1,13.571428571428571,19.565125330218248,7,11.840360504175935
2,36.833333333333336,29.11781597137451,6,15.492809613545736
3,55.57142857142857,33.557663917541504,7,23.358827999659947
4,72.57142857142857,53.131235531398225,7,21.327134132385254
