epoch,lr,train_mae,train_rmse,train_r2,train_pearson_r,train_spearman_r,train_nmae,train_ba_mean_diff,train_ba_loa_upper,train_ba_loa_lower,train_rounded_acc_1,train_tolerance_acc_1p5,train_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_1,val_tolerance_acc_1p5,val_loss,is_best
1,2.125e-05,5.908205841526841,6.51565409811662,-0.030719094118059065,0.19660923708647715,0.19866763366715295,0.29541029207634206,-1.1838005672801624,11.374334789101361,-13.741935923661686,0.06060606060606061,0.06060606060606061,6.111083915016868,6.151008830350988,6.730851129222183,-0.007073236748264877,0.3891999626831261,0.3770879756104313,0.3075504415175494,-0.7480987661025104,12.362631928343944,-13.858829460548964,0.029411764705882353,0.029411764705882353,5.666884412758929,True
2,3.25e-05,5.838835636774699,6.436814306048959,-0.005926481639890735,0.1575088943321841,0.1418546333083663,0.291941781838735,-0.6449528968695438,11.907713154641526,-13.197618948380613,0.09090909090909091,0.09090909090909091,6.018481549349699,6.036220129798441,6.659893784875099,0.014048186273256213,0.5861418244900363,0.500384409552916,0.30181100648992204,0.4882046194637523,13.50647703218093,-12.530067793253425,0.058823529411764705,0.058823529411764705,5.54106270554019,True
3,4.375e-05,5.680000688090469,6.338483431526409,0.024572491155705478,0.5524131638243805,0.545760538621552,0.2840000344045234,0.22599939144018924,12.64152753097997,-12.189528748099592,0.09090909090909091,0.09090909090909091,5.888792552370013,5.784119788338156,6.495838462860883,0.06202445119733546,0.8421425323602273,0.8027287084379652,0.2892059894169078,1.0705322237575756,13.62828726532097,-11.487222817805819,0.058823529411764705,0.058823529411764705,5.299538046968919,True
4,5.4999999999999995e-05,5.1999673265399355,5.839105202321378,0.1722162810669512,0.8430378963215647,0.8042126076570489,0.2599983663269968,0.1085611545678341,11.551229169245435,-11.334106860109767,0.12121212121212122,0.12121212121212122,5.344001956419511,3.3805622633765724,4.224994049052698,0.6031985160757346,0.8928447694250327,0.8665977928528921,0.16902811316882863,0.8260314184076646,8.94720971632599,-7.295146879510661,0.29411764705882354,0.29411764705882354,2.9523313960608313,True
5,6.625e-05,2.5625285813302705,3.495985408527939,0.7032686017364855,0.87404709649982,0.831708844294782,0.12812642906651353,0.29508665836218634,7.122765110722199,-6.532591793997826,0.3939393939393939,0.3939393939393939,3.131905608466177,2.450633588959189,3.4072668347204424,0.7419324632887536,0.8693379978043071,0.7561670737565799,0.12253167944795944,0.4091969027238734,7.039105191907573,-6.2207113864598265,0.4411764705882353,0.4411764705882353,1.9828971495084904,True
6,7.75e-05,1.9400872786839802,3.017340966154281,0.7789588869489563,0.8831742404415966,0.8857596656306,0.097004363934199,0.08012937415729869,5.9920319200958145,-5.831773171781218,0.6060606060606061,0.6060606060606061,2.4437067118558016,2.372264599098879,3.3470464395036745,0.7509740756935519,0.8746439278064553,0.8309107504819618,0.11861322995494394,-0.07397220765843111,6.48463647426584,-6.6325808895827025,0.35294117647058826,0.35294117647058826,1.8877960196385781,True
7,8.875e-05,1.7466378211975098,2.7596982800740233,0.8150954976132608,0.9049355422427448,0.903713829279896,0.08733189105987549,0.12289990078319203,5.526542129894345,-5.28074232832796,0.6363636363636364,0.6363636363636364,2.227612819816127,2.1522786266663494,2.9894665988826206,0.8013408854898652,0.90045804046814,0.9303137139958406,0.10761393133331747,-0.1890627286013435,5.658562315329325,-6.036687772532012,0.4411764705882353,0.4411764705882353,1.6918487736809196,True
8,0.0001,1.4084632324449944,2.0430566859453076,0.8986590167633488,0.9532521758444108,0.9341815009271865,0.07042316162224972,0.33421395041725854,4.2846627065471,-3.6162348057125824,0.696969696969697,0.696969696969697,1.9509647430795611,2.0167486948125504,2.6565132835336485,0.8431281319440258,0.9234891507897789,0.9425667757541001,0.10083743474062752,-0.012143401538624483,5.194568234417246,-5.218855037494495,0.47058823529411764,0.47058823529411764,1.5774872805411908,True
9,9.998052800596113e-05,1.119180561918201,1.6323002010170218,0.9353119069551806,0.9706028830992238,0.9481598008313004,0.055959028095910045,0.26005440589153406,3.418499172791112,-2.898390361008044,0.7575757575757576,0.7575757575757576,1.697559996807214,1.704739700345432,2.115462258624563,0.9005209457691588,0.9514438979975192,0.948233816817295,0.0852369850172716,0.2154734450228074,4.3402149847431355,-3.909268094697521,0.5588235294117647,0.5588235294117647,1.2897458311681653,True
10,9.992212734338192e-05,0.8670749754616709,1.2371682796571826,0.9628394756676387,0.9839636821387282,0.9798411572008044,0.043353748773083546,0.236535522070798,2.6166537557295033,-2.143582711587907,0.8333333333333334,0.8333333333333334,1.4527010516686873,1.548505830414155,2.2735082341222386,0.8851015559887971,0.9436927833260643,0.9376655510507964,0.07742529152070775,-0.42133473122821136,3.957551242250032,-4.8002207047064545,0.6176470588235294,0.6176470588235294,1.1278956450375857,True
