epoch,lr,train_mae,train_rmse,train_r2,train_pearson_r,train_spearman_r,train_nmae,train_ba_mean_diff,train_ba_loa_upper,train_ba_loa_lower,train_rounded_acc_5,train_tolerance_acc_10,train_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_5,val_tolerance_acc_10,val_loss,is_best
1,2.125e-05,24.834713750810767,29.586848136337153,-0.253205232914272,0.12321994343479892,0.0625957042113863,0.24834713750810766,13.382361597089625,65.10163224510293,-38.33690905092368,0.11940298507462686,0.22388059701492538,25.016704952183055,25.16342307582046,29.393712188838037,-0.13710139730111326,0.5551954891330939,0.5876556409813762,0.2516342307582046,10.744875647804953,64.36934245901855,-42.87959116340864,0.030303030303030304,0.30303030303030304,24.671202651900476,True
2,3.25e-05,23.920170485083737,27.637912738793737,-0.09354151991184168,0.4402638318571502,0.42809384039553333,0.23920170485083736,8.834596349232232,60.162806309772975,-42.493613611308504,0.08955223880597014,0.208955223880597,24.102158088114724,24.703071131850734,27.393354228581845,0.012400763960493832,0.7017761228590109,0.7211680542830172,0.24703071131850735,4.949305100874468,57.75667525347891,-47.85806505172997,0.06060606060606061,0.06060606060606061,24.22582294965031,True
3,4.375e-05,23.0811495994454,26.25389868557532,0.01323802753898784,0.6543638819758422,0.6410711757401192,0.230811495994454,5.939631277055883,56.063080983406465,-44.1838184292947,0.14925373134328357,0.1791044776119403,23.183047502432295,24.559961954752605,26.771712560855182,0.0567156583092171,0.7319251813195883,0.6935274668366298,0.24559961954752604,1.5778414408365886,53.959185579352784,-50.80350269767961,0.06060606060606061,0.09090909090909091,24.108451071170844,True
4,5.4999999999999995e-05,18.690097040204858,21.790948574692212,0.3202064085385301,0.8259151822732728,0.8386344938547534,0.1869009704020486,4.9845006857345355,46.56238832173261,-36.593386950263536,0.16417910447761194,0.23880597014925373,19.06371615964975,24.635701381798945,29.799426459048263,-0.16870830224581046,0.6868854283114287,0.8213442439371971,0.24635701381798947,-16.756019303292938,31.54283640463548,-65.05487501122136,0.15151515151515152,0.24242424242424243,24.10844457125423,True
5,6.625e-05,9.233703741386755,12.941312048840492,0.760237414547766,0.8859371620065362,0.8751603167848724,0.09233703741386755,0.8874202842143044,26.192685909404474,-24.417845340975866,0.34328358208955223,0.6567164179104478,11.757235131334903,26.475033283233643,33.18833811311002,-0.4496438925354418,0.8122351248807731,0.8112931212294199,0.2647503328323364,-22.606889652483392,25.017251771937428,-70.23103107690422,0.18181818181818182,0.3939393939393939,25.781316894232624,True
6,7.75e-05,6.5054076180529234,9.138179380378972,0.8804514942133933,0.942691021233041,0.9172439825034825,0.06505407618052923,-0.7663567315286665,17.08137999512688,-18.614093458184215,0.5373134328358209,0.8059701492537313,9.009864209303215,24.897920203931402,32.782164526622,-0.41437825096382475,0.5878217635210309,0.8268723614264746,0.24897920203931403,-23.933406829833984,19.975070691704836,-67.84188435137281,0.2727272727272727,0.36363636363636365,24.4357315578846,True
7,8.875e-05,5.477818802221497,7.5960363183599116,0.9173964219537878,0.9599556580089328,0.9344173168751149,0.05477818802221497,-1.236424125842194,13.453252605099898,-15.926100856784288,0.6268656716417911,0.8656716417910447,7.859086284352772,24.45897073456735,31.254942928557135,-0.2856647561786312,0.7877551429437333,0.7823123840886621,0.2445897073456735,-23.320275537895434,17.46638760261466,-64.10693867840553,0.2727272727272727,0.36363636363636365,23.99175140448291,True
8,0.0001,4.9184048673999845,6.925767680867372,0.9313310141743768,0.9680198813645187,0.9625264066615118,0.04918404867399984,-1.1979996019334935,12.171880748789004,-14.56787995265599,0.6567164179104478,0.9104477611940298,7.368493978301091,33.07069358681188,41.49934459557699,-1.2665890907498083,0.706410938808603,0.7096092631690735,0.3307069358681188,-31.37220038067211,21.87276601390686,-84.61716677525108,0.2727272727272727,0.36363636363636365,32.52079591751099,False
9,9.998052800596113e-05,4.188572307131183,6.014539169207929,0.948211955847751,0.9761728710894947,0.9723625888627263,0.04188572307131183,-1.0648897441465464,10.53736518792908,-12.667144676222172,0.8059701492537313,0.9402985074626866,6.804184152119196,20.338613365635727,26.55587760431873,0.071863964023555,0.8804096772186562,0.819501538107438,0.20338613365635727,-18.62174081802368,18.486261889420874,-55.72974352546824,0.3333333333333333,0.42424242424242425,19.817736110783585,True
10,9.992212734338192e-05,3.9617106380747327,5.833702833527036,0.9512793134399444,0.9770591882907549,0.9718627828565669,0.03961710638074733,-0.8748489493754372,10.429905030128445,-12.17960292887932,0.8059701492537313,0.9402985074626866,6.303967090151203,15.224786180438418,18.74479708887943,0.5375638194620853,0.8485701166262967,0.8121307147884013,0.15224786180438418,6.5527754696932705,40.97455816064557,-27.86900722125903,0.2727272727272727,0.36363636363636365,14.853197574254239,False
