fold,accuracy,macro_f1,cohen_kappa,weighted_kappa,precision_c0,recall_c0,f1_c0,support_c0,precision_c1,recall_c1,f1_c1,support_c1,precision_c2,recall_c2,f1_c2,support_c2,precision_c3,recall_c3,f1_c3,support_c3,precision_c4,recall_c4,f1_c4,support_c4,loss
1,0.3235294117647059,0.09777777777777777,0.0,0.0,0.3235294117647059,1.0,0.4888888888888889,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.693251365072587
2,0.30303030303030304,0.19871794871794873,0.08443908323281057,0.07658321060382922,0.25806451612903225,1.0,0.41025641025641024,8,1.0,0.14285714285714285,0.25,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,1.0,0.2,0.3333333333333333,5,0.9200621312314814
3,0.30303030303030304,0.16421052631578947,0.09427207637231494,0.04059243006033997,0.2608695652173913,0.8571428571428571,0.4,7,0.4,0.4444444444444444,0.42105263157894735,9,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.6985418239025154
