epoch,lr,train_accuracy,train_macro_f1,train_cohen_kappa,train_weighted_kappa,train_precision_c0,train_recall_c0,train_f1_c0,train_support_c0,train_precision_c1,train_recall_c1,train_f1_c1,train_support_c1,train_precision_c2,train_recall_c2,train_f1_c2,train_support_c2,train_precision_c3,train_recall_c3,train_f1_c3,train_support_c3,train_precision_c4,train_recall_c4,train_f1_c4,train_support_c4,train_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_loss,is_best
1,2.125e-05,0.23880597014925373,0.12846246487354476,-0.005887547836326279,0.004120676968359049,0.27586206896551724,0.4444444444444444,0.3404255319148936,18,0.21052631578947367,0.5333333333333333,0.3018867924528302,15,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.7656728758740781,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.6880092743671302,True
2,3.25e-05,0.22388059701492538,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,18,0.22388059701492538,1.0,0.36585365853658536,15,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.7245697259902955,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.6728618850611677,False
3,4.375e-05,0.22388059701492538,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,18,0.22388059701492538,1.0,0.36585365853658536,15,0.0,0.0,0.0,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6941537373101533,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.6768085378589053,False
4,5.4999999999999995e-05,0.19402985074626866,0.08811188811188811,-0.015151515151515138,0.0200680272108843,0.0,0.0,0.0,18,0.23529411764705882,0.8,0.36363636363636365,15,0.0625,0.1,0.07692307692307693,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6767652367477986,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.6806157948994878,False
5,6.625e-05,0.208955223880597,0.12549019607843137,0.05908850026497081,0.01301815690304886,0.0,0.0,0.0,18,0.4444444444444444,0.26666666666666666,0.3333333333333333,15,0.1724137931034483,1.0,0.29411764705882354,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6713788568083919,0.15151515151515152,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.15151515151515152,1.0,0.2631578947368421,5,0.7190394536413328,False
6,7.75e-05,0.2835820895522388,0.16777939042089987,0.13057583130575823,0.23304288399111572,0.0,0.0,0.0,18,0.375,0.6,0.46153846153846156,15,0.23255813953488372,1.0,0.37735849056603776,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.6480458416155914,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.7333027236389391,False
7,8.875e-05,0.34328358208955223,0.2497997048281678,0.18563535911602214,0.37962962962962976,0.5384615384615384,0.3888888888888889,0.45161290322580644,18,0.3157894736842105,0.4,0.35294117647058826,15,0.2857142857142857,1.0,0.4444444444444444,10,0.0,0.0,0.0,12,0.0,0.0,0.0,12,0.5894466873425156,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.6125218403459799,False
8,0.0001,0.5373134328358209,0.4113684519029911,0.413111048318734,0.6612359550561797,0.6206896551724138,1.0,0.7659574468085106,18,0.5,0.06666666666666667,0.11764705882352941,15,0.47058823529411764,0.8,0.5925925925925926,10,0.47368421052631576,0.75,0.5806451612903226,12,0.0,0.0,0.0,12,0.5312821735197039,0.15151515151515152,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.15151515151515152,1.0,0.2631578947368421,5,0.8238483026774243,False
9,9.995288696830197e-05,0.6268656716417911,0.523182964212512,0.5252267573696145,0.7573140150459738,0.6206896551724138,1.0,0.7659574468085106,18,1.0,0.2,0.3333333333333333,15,0.7692307692307693,1.0,0.8695652173913043,10,0.5,0.9166666666666666,0.6470588235294118,12,0.0,0.0,0.0,12,0.4654417899117541,0.15151515151515152,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.15151515151515152,1.0,0.2631578947368421,5,1.0001203533374903,False
10,9.98116375555414e-05,0.6417910447761194,0.5436676798378925,0.5437003405221339,0.7771618625277162,0.6206896551724138,1.0,0.7659574468085106,18,1.0,0.2,0.3333333333333333,15,0.9090909090909091,1.0,0.9523809523809523,10,0.5,1.0,0.6666666666666666,12,0.0,0.0,0.0,12,0.38268326752221404,0.15151515151515152,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.15151515151515152,1.0,0.2631578947368421,5,1.0310734899357112,False
