epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_5,val_tolerance_acc_10,is_best
1,33.02991442988761,30.64634670488762,30.941569877393317,37.6650002832963,-0.8670943658468309,0.3935417594818827,0.3478928445092994,0.30941569877393316,-27.81771505240238,21.95343431628854,-77.5888644210933,0.09090909090909091,0.15151515151515152,True
2,21.4409190306023,24.532671839608387,24.218831914843935,31.29285432540627,-0.2887856006391576,0.477235245596634,0.552938919157578,0.24218831914843936,-19.257944468295936,29.085935563919836,-67.60182450051171,0.18181818181818182,0.3939393939393939,True
3,15.4476599346939,22.076082230652823,21.917120370054334,26.860787799894954,0.05042819651341934,0.5311579016892879,0.6174418055407275,0.21917120370054335,-9.88710756018532,39.06375119107538,-58.837966311446024,0.12121212121212122,0.2727272727272727,True
4,14.458282099671624,20.391565266612805,19.94879861875917,24.23206053247233,0.22719306842026377,0.5774060383406878,0.6580134999358169,0.1994879861875917,-7.7703579142689705,37.216415672216726,-52.75713150075467,0.15151515151515152,0.30303030303030304,True
5,13.029742958296591,18.816576218605043,18.362958785259362,23.049652124048,0.30077158489639466,0.5869896295578516,0.650475157904984,0.18362958785259362,-5.634031794287941,38.17291744844622,-49.440981037022105,0.2727272727272727,0.3333333333333333,True
6,11.92568298714671,20.99394492669539,20.365168087410204,24.005486439141528,0.2415772707612006,0.5698633715138538,0.6516184785376907,0.20365168087410204,3.4723516738776006,50.02827887429457,-43.08357552653936,0.15151515151515152,0.21212121212121213,False
7,11.606907223943454,19.601256008942922,18.97926386197408,24.641203031410637,0.20087607619200665,0.5754858012418939,0.6508101953285765,0.1897926386197408,-9.946482333269985,34.24082007538106,-54.133784741921026,0.30303030303030304,0.3939393939393939,False
8,12.267941072568371,19.483266336628883,19.20341868834062,23.100761448377796,0.29766726795364473,0.5760745378174046,0.669739809761557,0.1920341868834062,-2.5161188876990117,42.491999400378944,-47.52423717577696,0.18181818181818182,0.2727272727272727,False
9,12.027792554352414,20.168657580469596,19.683676851518225,25.033515354202677,0.17522782951901028,0.5258200751699244,0.5742541440376732,0.19683676851518225,-5.054589988607349,43.00051761918556,-53.10969759640025,0.21212121212121213,0.3939393939393939,False
10,10.954783082838675,22.04936568809278,21.25361728668213,25.181559518754746,0.16544384568527581,0.5863339312384986,0.6365711048258921,0.21253617286682128,10.211879816922275,55.32716519850579,-34.903405564661234,0.12121212121212122,0.21212121212121213,False
11,11.798177276440521,20.924987334916086,20.087888470201783,24.855537629814773,0.1869137042906771,0.5253649943869286,0.6263524634063186,0.20087888470201784,-1.9259912443883491,46.644387035932596,-50.496369524709294,0.21212121212121213,0.3333333333333333,False
12,10.705797417958577,19.992618988860738,19.166582223140832,23.350558665376994,0.28239596915083287,0.5538479307634154,0.609768110938486,0.19166582223140832,-2.773988290266557,42.66900708742525,-48.21698366795837,0.2727272727272727,0.3333333333333333,False
13,11.17737981549543,21.506421450412635,20.848715003692742,26.43844881284548,0.08005415985595155,0.4825446889906957,0.549628893403619,0.20848715003692742,-9.261732117696242,39.27397444209864,-57.79743867749112,0.24242424242424243,0.36363636363636365,False
14,11.073124279193024,19.455067762461574,17.966990490754444,22.901438905459205,0.30973499122454107,0.5969558241507961,0.6623689864425203,0.17966990490754445,-4.338102505062565,39.73605148479624,-48.41225649492137,0.24242424242424243,0.42424242424242425,False
15,11.008904543444885,20.07902295625571,19.626713752746582,23.919703606237206,0.24698798436077896,0.5920475506979307,0.6514802701757617,0.19626713752746583,-8.868202151674213,34.673241354184434,-52.409645657532856,0.15151515151515152,0.3333333333333333,False
16,11.10753112669608,19.681887409903787,19.20871885617574,22.284634233916144,0.34641611003425465,0.5933320682684005,0.6573434250886317,0.19208718856175738,0.13642200556668369,43.81348665151475,-43.54064264038138,0.09090909090909091,0.2727272727272727,False
17,10.682896414562244,20.070707989461493,19.18325044892051,23.002168138915902,0.30364954175633685,0.5792439314876932,0.6310429873366146,0.1918325044892051,1.1746317473324863,46.200058704414914,-43.85079520974995,0.18181818181818182,0.2727272727272727,False
18,10.584883174611562,20.86388895222635,20.28220035090591,24.906167058556278,0.18359790224505246,0.5711943692198655,0.5774369995618027,0.2028220035090591,-10.376360662055738,34.00144570103768,-54.75416702514916,0.21212121212121213,0.3333333333333333,False
19,10.785939119229862,19.77671196821964,18.537473411271066,22.620156398570707,0.3265869549588667,0.6003743302389373,0.6467897462454656,0.18537473411271066,2.591424342357751,46.63502719030102,-41.45217850558552,0.15151515151515152,0.3333333333333333,False
20,10.405639228773355,19.88102276614218,19.027168059213594,23.684549351611118,0.2617209071694271,0.5626440149649194,0.589833384234728,0.19027168059213595,-5.3246353198633045,39.908756491322904,-50.55802713104951,0.21212121212121213,0.3333333333333333,False
21,9.985340241531828,20.142612859335813,18.68266319506096,23.278943572137546,0.28679093656587673,0.6209967480170717,0.6312105060484109,0.1868266319506096,-8.517249136260062,33.945854849134584,-50.98035312165471,0.2727272727272727,0.36363636363636365,False
22,10.25568246272073,18.686586749802032,17.27694137168653,22.05095599281574,0.3600512967015961,0.6273601480510315,0.7077665573393143,0.1727694137168653,-4.726372877756755,37.48904514251867,-46.941790898032174,0.2727272727272727,0.3333333333333333,True
23,10.334133912081743,20.14514224059654,18.907611984195132,24.39332580344025,0.2168727229862858,0.5990454586029863,0.6486324520752248,0.18907611984195133,-10.373288349671798,32.899198750455945,-53.64577544979954,0.30303030303030304,0.3939393939393939,False
24,10.551208751593062,21.08156555999409,19.847448912533846,23.466777146258195,0.2752349933053835,0.5546543768320105,0.6082604425323195,0.19847448912533847,4.336003491372773,49.538919800039984,-40.86691281729444,0.12121212121212122,0.2727272727272727,False
25,9.968274860951437,20.234660997535244,19.07400733413118,23.936936761729303,0.24590256557964774,0.563993930688036,0.594021352029635,0.19074007334131182,-7.109666517286589,37.68950186961545,-51.90883490418863,0.21212121212121213,0.3333333333333333,False
26,9.951865610435828,20.418543629935293,19.484456698099773,24.204905943201556,0.22892412192969913,0.5198772990304084,0.5673858768540254,0.19484456698099772,-3.6519886941620796,43.246533605167876,-50.55051099349203,0.18181818181818182,0.24242424242424243,False
27,9.992494783828507,19.785582517493854,18.64619999220877,23.49728362060069,0.27334940021339516,0.5552842192180985,0.598041801112746,0.1864619999220877,-1.28067194331776,44.70554865070341,-47.26689253733894,0.15151515151515152,0.36363636363636365,False
28,9.88141134935825,20.361097792423134,18.93406665686405,23.999996658192313,0.24192411635251698,0.5404549868110271,0.5963666139947831,0.18934066656864051,-2.4279667247425425,44.37069421407426,-49.22662766355934,0.18181818181818182,0.3333333333333333,False
29,9.981786662429126,21.845908842077762,20.732590155168012,27.35823519275426,0.014931399679033897,0.48709525527829917,0.5137798890792135,0.20732590155168013,-12.485423116972953,35.227082063581435,-60.19792829752734,0.2727272727272727,0.36363636363636365,False
30,9.491778801211078,21.38225465218226,20.217985035795152,25.4119261004291,0.15010458608873334,0.49379876464254807,0.5596800161113962,0.20217985035795152,-4.937215749061469,43.9210629428927,-53.795494441015634,0.30303030303030304,0.3939393939393939,False
31,10.347711898082524,21.18337558282144,19.87151589538112,26.42780224320245,0.08079492157645585,0.5102980816039215,0.5487912998446375,0.1987151589538112,-11.211318695183957,35.69517364716926,-58.11781103753717,0.3333333333333333,0.42424242424242425,False
