epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_precision_c5,val_recall_c5,val_f1_c5,val_support_c5,is_best
1,1.6330199163351486,1.6074512102387168,0.30303030303030304,0.15555555555555556,0.08883553421368551,0.1724770642201835,0.25,0.16666666666666666,0.2,6,0.3181818181818182,0.875,0.4666666666666667,8,0.0,0.0,0.0,5,0.2857142857142857,0.25,0.26666666666666666,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,True
2,1.2807688497192231,1.597460938064438,0.3333333333333333,0.24152046783625733,0.13157894736842102,0.27116564417177913,0.5,0.3333333333333333,0.4,6,0.29411764705882354,0.625,0.4,8,1.0,0.2,0.3333333333333333,5,0.2727272727272727,0.375,0.3157894736842105,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,True
3,1.0433129062700035,1.6471276625821536,0.36363636363636365,0.2606516290726817,0.17890995260663511,0.3453908984830806,0.375,0.5,0.42857142857142855,6,0.3076923076923077,0.5,0.38095238095238093,8,1.0,0.2,0.3333333333333333,5,0.36363636363636365,0.5,0.42105263157894735,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,False
4,0.8782506839552922,1.7116876802886978,0.42424242424242425,0.35488639900404606,0.2734646581691773,0.42944785276073616,0.375,0.5,0.42857142857142855,6,0.4,0.5,0.4444444444444444,8,0.5,0.2,0.2857142857142857,5,0.4444444444444444,0.5,0.47058823529411764,8,0.5,0.5,0.5,4,0.0,0.0,0.0,2,False
5,0.7577839570852062,1.7907558892825337,0.3333333333333333,0.2831094344252239,0.17123287671232879,0.3508196721311476,0.5714285714285714,0.6666666666666666,0.6153846153846154,6,0.2,0.125,0.15384615384615385,8,0.3333333333333333,0.2,0.25,5,0.2727272727272727,0.375,0.3157894736842105,8,0.2857142857142857,0.5,0.36363636363636365,4,0.0,0.0,0.0,2,False
6,0.5802364931622548,2.0719104049515655,0.3939393939393939,0.27419856831621536,0.22626025791324733,0.36681715575620777,0.36363636363636365,0.6666666666666666,0.47058823529411764,6,0.4,0.5,0.4444444444444444,8,0.5,0.2,0.2857142857142857,5,0.4,0.5,0.4444444444444444,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,False
7,0.493063340006183,2.102752776870109,0.3939393939393939,0.34920634920634924,0.25,0.40607424071991005,0.5,0.3333333333333333,0.4,6,0.3,0.375,0.3333333333333333,8,0.6,0.6,0.6,5,0.5,0.375,0.42857142857142855,8,0.25,0.5,0.3333333333333333,4,0.0,0.0,0.0,2,False
8,0.39756171003502994,2.256813233136905,0.48484848484848486,0.3766081871345029,0.34994206257242166,0.438138479001135,0.4444444444444444,0.6666666666666666,0.5333333333333333,6,0.45454545454545453,0.625,0.5263157894736842,8,0.75,0.6,0.6666666666666666,5,0.5714285714285714,0.5,0.5333333333333333,8,0.0,0.0,0.0,4,0.0,0.0,0.0,2,False
9,0.4029886528553061,2.6413488341583586,0.3333333333333333,0.27216117216117214,0.17028571428571426,0.3450937155457552,0.25,0.16666666666666666,0.2,6,0.3333333333333333,0.5,0.4,8,0.5,0.2,0.2857142857142857,5,0.3333333333333333,0.25,0.2857142857142857,8,0.3333333333333333,0.75,0.46153846153846156,4,0.0,0.0,0.0,2,False
10,0.3891508011990667,2.517974342851702,0.3939393939393939,0.35000000000000003,0.2633928571428571,0.38661710037174724,0.5,0.5,0.5,6,0.2857142857142857,0.25,0.26666666666666666,8,0.6,0.6,0.6,5,0.5,0.25,0.3333333333333333,8,0.2727272727272727,0.75,0.4,4,0.0,0.0,0.0,2,False
