epoch,lr,train_mae,train_rmse,train_r2,train_pearson_r,train_spearman_r,train_nmae,train_ba_mean_diff,train_ba_loa_upper,train_ba_loa_lower,train_rounded_acc_5,train_tolerance_acc_10,train_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_5,val_tolerance_acc_10,val_loss,is_best
1,2.125e-05,25.695989864975658,31.10131796409488,-0.2635519971286471,0.07575675957543407,0.02662169408327872,0.2569598986497566,14.25871430582075,68.43352011254034,-39.91609150089883,0.14925373134328357,0.26865671641791045,25.874547013240075,23.918166767467152,28.238520606893523,-0.2790552964031714,0.8170065107869265,0.8192864418837561,0.23918166767467153,13.464320327296402,62.11522081935237,-35.18658016475956,0.06060606060606061,0.24242424242424243,23.446880689985825,True
2,3.25e-05,25.419694786641134,30.027669099055352,-0.17781959335852493,0.2844527142056955,0.333932122098751,0.25419694786641134,11.896280060953169,65.93470752575922,-42.14214740385288,0.11940298507462686,0.26865671641791045,25.580146231580137,23.159917426831793,26.780543426467634,-0.15038764794723503,0.6622464097070493,0.7136530653351966,0.23159917426831794,10.26385313091856,58.745665491800764,-38.21795922996364,0.09090909090909091,0.15151515151515152,22.711834081013997,True
3,4.375e-05,25.032488495556276,28.798512005068808,-0.08336706679873429,0.6239556560214555,0.6686648966511345,0.25032488495556277,9.134267465392156,62.664858394106204,-44.39632346332189,0.05970149253731343,0.19402985074626866,25.10201716067186,23.88370860706676,28.13671353102734,-0.2698492796390306,0.6354066219339995,0.6215795992469118,0.23883708607066761,13.140617832993016,61.904803804546674,-35.62356813856064,0.030303030303030304,0.24242424242424243,23.390878820539726,False
4,5.4999999999999995e-05,21.96763852816909,25.631851103415094,0.14178623669685375,0.8744490164755241,0.8499926610875419,0.2196763852816909,7.935971359708416,55.70580570912748,-39.833862989710646,0.1044776119402985,0.2537313432835821,21.88124163044033,24.322685993078984,29.25338276205171,-0.37264308465452833,0.5994318223444653,0.6204077551330609,0.24322685993078985,16.10695318742232,63.969754365140915,-31.755847990296274,0.09090909090909091,0.2727272727272727,23.833900838909727,False
5,6.625e-05,9.878139125767039,13.39459732426809,0.7656338659581129,0.9104356487754128,0.8655853676220338,0.09878139125767038,2.869141365165141,28.51319783054293,-22.774915100212645,0.34328358208955223,0.6716417910447762,11.735603084848888,28.083876523104582,35.33889583450254,-1.0031404034242062,0.2613160239109546,0.702269436800645,0.28083876523104584,25.115882873535156,73.84189230701168,-23.610126559941364,0.24242424242424243,0.2727272727272727,27.607229496734313,True
6,7.75e-05,7.251041131233102,10.399159896778084,0.8587358229368689,0.927453777998204,0.8838802761875352,0.07251041131233102,-0.28872450430001784,20.08577149402957,-20.663220502629603,0.43283582089552236,0.8805970149253731,8.60264379444407,29.0416699033795,36.530719843931124,-1.1405328609184027,0.12285421313888845,0.36377389419971434,0.290416699033795,26.686308427290484,75.58170662465346,-22.209089770072488,0.24242424242424243,0.2727272727272727,28.571659023713583,False
7,8.875e-05,6.869658402542569,9.365636996206709,0.8854196422878312,0.9420293471143224,0.9077397193057818,0.0686965840254257,-1.00450045671036,17.246260867044658,-19.25526178046538,0.5522388059701493,0.8656716417910447,7.916568044406264,29.678316174131453,37.228596217658016,-1.2230987792947254,-0.010202768461352527,0.003348126039573993,0.2967831617413145,27.61210366451379,76.55484242311965,-21.330635094092067,0.24242424242424243,0.30303030303030304,29.132971441805964,False
8,0.0001,6.173297554699342,8.42830404330325,0.9072068495312594,0.9536908626559044,0.9288369114589966,0.061732975546993425,-1.1575404209877127,15.20539714107906,-17.520477983054484,0.6119402985074627,0.8805970149253731,7.397930566588444,28.117314020792644,35.25085223496787,-0.9931715580261853,0.13035608838546156,0.6883747137364129,0.28117314020792644,24.995231223828863,73.7145786654463,-23.724116217788566,0.21212121212121213,0.2727272727272727,27.50452164062346,False
9,9.998052800596113e-05,5.497053957697171,7.549488431639331,0.9255489923776181,0.9630008665679959,0.9535570559648984,0.054970539576971705,-1.1019051466415177,13.53662888302436,-15.740439176307394,0.6567164179104478,0.9104477611940298,6.808804426620256,31.84320611664743,39.4358840826706,-1.4945292568450976,-0.09431322181095635,0.12722878950381172,0.3184320611664743,30.50827777746952,79.4860832159896,-18.46952766105056,0.12121212121212122,0.3333333333333333,31.351483636251604,False
10,9.992212734338192e-05,5.0247180853317035,7.020027037144699,0.9356256137426394,0.9678439459032264,0.9466314122409778,0.05024718085331704,-0.9155863078672495,12.726137784784836,-14.557310400519334,0.6716417910447762,0.9104477611940298,6.488477100543122,25.637226046937883,31.678912796130703,-0.6097038246641684,0.39524440746052325,0.5889353703610654,0.25637226046937883,19.962497306592535,68.17420333020739,-28.249208717022324,0.15151515151515152,0.24242424242424243,25.036473293497107,False
