epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_1,val_tolerance_acc_1p5,is_best
1,7.852682413983701,6.545271719709942,6.9558739585406855,8.415636609499225,-0.6005267112659458,0.4796932299735879,0.49714993191977924,0.3477936979270343,-5.809827666842576,6.123472946240913,-17.743128279926065,0.09090909090909091,0.09090909090909091,True
2,3.5473899075047886,4.140661997686733,4.469074382023378,5.509899682947134,0.3139174684967736,0.706774373303611,0.7501702562787207,0.2234537191011689,-2.8545612611553888,6.382524801313183,-12.091647323623961,0.24242424242424243,0.24242424242424243,True
3,2.8762625685823497,3.6984387929692413,4.072653076865456,4.9597040364903835,0.44409510174500855,0.6975602111479231,0.6965507606322632,0.2036326538432728,-1.3487008412679036,8.005997493065854,-10.703399175601662,0.2727272727272727,0.2727272727272727,True
4,2.669226804064281,3.6511561094811467,3.70721791007302,4.745751947986062,0.4910219571278138,0.7278009154078922,0.7023903039881771,0.185360895503651,-1.22807654467496,7.756763034519385,-10.212916123869306,0.30303030303030304,0.30303030303030304,True
5,2.793996112382234,3.930325326707327,4.025460762169325,5.135756694050857,0.4039291828357342,0.6804339558316138,0.6589022499861882,0.20127303810846625,-1.2419060155975097,8.525438164815515,-11.009250196010534,0.21212121212121213,0.21212121212121213,False
6,2.561966085908425,4.049074399742213,4.103657415418914,4.997491922234368,0.4355919755242642,0.6855039833182739,0.6585670160762487,0.20518287077094569,-1.0289491776264075,8.556270280308684,-10.614168635561498,0.18181818181818182,0.18181818181818182,False
7,2.3832297244475256,4.2142081251198595,4.24366917686932,5.249904627337485,0.37713804326396694,0.6663982827197158,0.6429786392640595,0.21218345884346598,-1.4970735787893787,8.365499438778688,-11.359646596357447,0.12121212121212122,0.12121212121212122,False
8,2.6550441893772105,3.8436948494477705,4.028023078134566,5.195204902681378,0.390049852968793,0.6781357742572007,0.6243003882877142,0.20140115390672828,-1.4763953058105526,8.286374508315953,-11.239165119937057,0.21212121212121213,0.21212121212121213,False
9,2.640070407337217,3.9073749004891423,4.141441354245851,5.410295698938323,0.33849827322370485,0.6643348534431927,0.6392145567369443,0.20707206771229253,-1.9009558413967942,8.027110002064385,-11.829021684857972,0.18181818181818182,0.18181818181818182,False
10,2.3741911636952735,3.7467985102624604,3.9390543699264526,4.968784458114988,0.4420576931721112,0.6719985070958748,0.6504420768054657,0.19695271849632262,-0.16731334816325794,9.565981377763023,-9.90060807408954,0.18181818181818182,0.18181818181818182,False
11,2.598061702263296,3.6498479339435246,3.707626324711424,4.755203792118408,0.48899253297740797,0.7080937971861238,0.6578153735668828,0.1853813162355712,0.7295908747297345,9.939434676616688,-8.48025292715722,0.24242424242424243,0.24242424242424243,True
12,2.322308285853163,3.535141026522174,3.7353532711664834,4.820226913783874,0.4749218521644595,0.7029360699560782,0.6802704137039259,0.18676766355832417,-0.8575391733285153,8.43939477062035,-10.15447311727738,0.2727272727272727,0.2727272727272727,True
13,2.3624737392610577,4.02230777072184,4.369318049965483,5.574620321542296,0.2977050179865385,0.6270809624743973,0.6179325410846722,0.21846590249827416,-1.9490005446202827,8.28771536969674,-12.185716458937305,0.18181818181818182,0.18181818181818182,False
14,2.4235661160293502,4.146418292775299,4.385732771772327,5.573593461994512,0.2979637232781752,0.634621513820564,0.601007473518692,0.21928663858861636,-1.9143245184060298,8.345354543122534,-12.174003579934594,0.18181818181818182,0.18181818181818182,False
15,2.371339160530128,3.835695326960448,4.18182279846885,5.340995662893218,0.35533598495959373,0.6368869545588792,0.5971532502115875,0.20909113992344247,-1.2781269189083215,8.886060850057365,-11.44231468787401,0.21212121212121213,0.21212121212121213,False
