epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,val_precision_c5,val_recall_c5,val_f1_c5,val_support_c5,is_best
11,0.11429278512308096,1.8094332371404458,0.48484848484848486,0.3464646464646464,0.34994206257242166,0.6522462562396006,0.6,0.5,0.5454545454545454,6,0.5,0.875,0.6363636363636364,8,0.0,0.0,0.0,5,0.5714285714285714,0.5,0.5333333333333333,8,0.2857142857142857,0.5,0.36363636363636365,4,0.0,0.0,0.0,2,False
12,0.10551998704767135,1.8250110301348121,0.48484848484848486,0.3350611376927166,0.336094674556213,0.5968586387434555,0.5,0.5,0.5,6,0.42857142857142855,0.75,0.5454545454545454,8,0.0,0.0,0.0,5,0.5454545454545454,0.75,0.631578947368421,8,0.5,0.25,0.3333333333333333,4,0.0,0.0,0.0,2,False
13,0.12034430716230056,1.847619151993596,0.5454545454545454,0.37859649122807015,0.4100119189511322,0.6413043478260869,1.0,0.5,0.6666666666666666,6,0.47058823529411764,1.0,0.64,8,0.0,0.0,0.0,5,0.5454545454545454,0.75,0.631578947368421,8,0.5,0.25,0.3333333333333333,4,0.0,0.0,0.0,2,False
14,0.08069369097914146,1.5743926338117655,0.48484848484848486,0.35161762553066905,0.336094674556213,0.5842831433713258,0.6,0.5,0.5454545454545454,6,0.5,0.625,0.5555555555555556,8,0.0,0.0,0.0,5,0.4666666666666667,0.875,0.6086956521739131,8,1.0,0.25,0.4,4,0.0,0.0,0.0,2,False
15,0.12094190337893405,2.621601036647442,0.42424242424242425,0.3088023088023088,0.2834285714285716,0.6463022508038585,0.6,0.5,0.5454545454545454,6,0.42857142857142855,0.75,0.5454545454545454,8,0.0,0.0,0.0,5,0.5,0.25,0.3333333333333333,8,0.3,0.75,0.42857142857142855,4,0.0,0.0,0.0,2,False
16,0.08380162543759812,1.8196597422730216,0.5151515151515151,0.4238095238095238,0.3931034482758621,0.6785714285714286,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.46153846153846156,0.75,0.5714285714285714,8,1.0,0.2,0.3333333333333333,5,0.6666666666666666,0.5,0.5714285714285714,8,0.3333333333333333,0.5,0.4,4,0.0,0.0,0.0,2,False
17,0.10649268759602208,1.9631522461842337,0.48484848484848486,0.3542087542087542,0.34232121922626024,0.6206896551724138,0.75,0.5,0.6,6,0.5,0.875,0.6363636363636364,8,0.0,0.0,0.0,5,0.4,0.5,0.4444444444444444,8,0.4,0.5,0.4444444444444444,4,0.0,0.0,0.0,2,False
18,0.07133555574045887,2.2437046861967467,0.5757575757575758,0.45050125313283207,0.4526066350710901,0.660205935796487,1.0,0.3333333333333333,0.5,6,0.5,1.0,0.6666666666666666,8,1.0,0.2,0.3333333333333333,5,0.5454545454545454,0.75,0.631578947368421,8,0.6666666666666666,0.5,0.5714285714285714,4,0.0,0.0,0.0,2,False
19,0.06307275667606328,1.8231987019161213,0.5454545454545454,0.3893518518518519,0.41969519343493555,0.6586206896551724,0.75,0.5,0.6,6,0.5,1.0,0.6666666666666666,8,0.0,0.0,0.0,5,0.625,0.625,0.625,8,0.4,0.5,0.4444444444444444,4,0.0,0.0,0.0,2,False
20,0.0973697332792735,2.3857942999040294,0.5757575757575758,0.4591503267973856,0.4564705882352941,0.6686355581807442,1.0,0.5,0.6666666666666666,6,0.5,1.0,0.6666666666666666,8,1.0,0.2,0.3333333333333333,5,0.5555555555555556,0.625,0.5882352941176471,8,0.5,0.5,0.5,4,0.0,0.0,0.0,2,False
21,0.09245286972266273,1.642808714853582,0.5454545454545454,0.41954887218045106,0.41901408450704225,0.676657060518732,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.5,0.75,0.6,8,1.0,0.2,0.3333333333333333,5,0.5454545454545454,0.75,0.631578947368421,8,0.3333333333333333,0.25,0.2857142857142857,4,0.0,0.0,0.0,2,False
22,0.08531604383204476,2.5094331186511583,0.5454545454545454,0.406374269005848,0.4107142857142857,0.6355828220858896,1.0,0.3333333333333333,0.5,6,0.47058823529411764,1.0,0.64,8,1.0,0.2,0.3333333333333333,5,0.5454545454545454,0.75,0.631578947368421,8,0.5,0.25,0.3333333333333333,4,0.0,0.0,0.0,2,False
23,0.09095571151680557,3.2602863591267535,0.45454545454545453,0.32702020202020204,0.31487889273356406,0.6019736842105263,0.6,0.5,0.5454545454545454,6,0.4375,0.875,0.5833333333333334,8,0.0,0.0,0.0,5,0.5,0.25,0.3333333333333333,8,0.375,0.75,0.5,4,0.0,0.0,0.0,2,False
24,0.09154796705883408,3.3898235037695374,0.5151515151515151,0.37222222222222223,0.38245614035087716,0.6586206896551724,1.0,0.5,0.6666666666666666,6,0.5,1.0,0.6666666666666666,8,0.0,0.0,0.0,5,0.5,0.5,0.5,8,0.3333333333333333,0.5,0.4,4,0.0,0.0,0.0,2,False
25,0.03353714754982583,1.782575771281016,0.5454545454545454,0.44253812636165585,0.43233944954128434,0.7275729223995597,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.5555555555555556,0.625,0.5882352941176471,8,0.3333333333333333,0.2,0.25,5,0.6666666666666666,0.75,0.7058823529411765,8,0.4,0.5,0.4444444444444444,4,0.0,0.0,0.0,2,False
26,0.06248026751641191,1.8743820279712358,0.5151515151515151,0.3884875587661966,0.39030023094688227,0.6929392446633826,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.5454545454545454,0.75,0.631578947368421,8,0.0,0.0,0.0,5,0.5555555555555556,0.625,0.5882352941176471,8,0.4,0.5,0.4444444444444444,4,0.0,0.0,0.0,2,False
27,0.043425402550063844,1.9249460998406656,0.5454545454545454,0.4042328042328043,0.4290657439446367,0.6830309498399145,0.625,0.8333333333333334,0.7142857142857143,6,0.5,0.75,0.6,8,0.0,0.0,0.0,5,0.7142857142857143,0.625,0.6666666666666666,8,0.4,0.5,0.4444444444444444,4,0.0,0.0,0.0,2,False
28,0.06089263587840611,2.3410236788734355,0.5757575757575758,0.4261437908496732,0.4726027397260274,0.706436420722135,0.6666666666666666,1.0,0.8,6,0.7777777777777778,0.875,0.8235294117647058,8,0.0,0.0,0.0,5,0.5714285714285714,0.5,0.5333333333333333,8,0.3333333333333333,0.5,0.4,4,0.0,0.0,0.0,2,False
29,0.06492668335080859,2.4272805377697,0.5151515151515151,0.41757964257964253,0.3874709976798144,0.6471581316826112,0.8,0.6666666666666666,0.7272727272727273,6,0.4375,0.875,0.5833333333333334,8,1.0,0.2,0.3333333333333333,5,0.6,0.375,0.46153846153846156,8,0.3333333333333333,0.5,0.4,4,0.0,0.0,0.0,2,False
30,0.07771857563621559,2.4717701089406603,0.5454545454545454,0.3828282828282829,0.4128113879003559,0.6501766784452296,0.8,0.6666666666666666,0.7272727272727273,6,0.5,0.875,0.6363636363636364,8,0.0,0.0,0.0,5,0.5,0.75,0.6,8,0.5,0.25,0.3333333333333333,4,0.0,0.0,0.0,2,False
31,0.07015976130880316,2.628221331864732,0.5454545454545454,0.42367149758454103,0.4107142857142857,0.6202301635372501,0.75,0.5,0.6,6,0.4666666666666667,0.875,0.6086956521739131,8,1.0,0.2,0.3333333333333333,5,0.5,0.75,0.6,8,1.0,0.25,0.4,4,0.0,0.0,0.0,2,False
32,0.04815635983788493,2.000093344191555,0.5454545454545454,0.5212121212121211,0.44004524886877827,0.6991957104557641,0.8,0.6666666666666666,0.7272727272727273,6,0.5,0.75,0.6,8,0.4,0.4,0.4,5,0.75,0.375,0.5,8,0.5,0.5,0.5,4,0.3333333333333333,0.5,0.4,2,False
33,0.0596741019775728,2.8888347512337855,0.5454545454545454,0.39636752136752135,0.43557582668187,0.6749611197511665,0.6,1.0,0.75,6,0.6,0.75,0.6666666666666666,8,0.0,0.0,0.0,5,0.6,0.375,0.46153846153846156,8,0.375,0.75,0.5,4,0.0,0.0,0.0,2,False
34,0.07664591662130081,2.2799606705367976,0.5151515151515151,0.4440947940947941,0.39518900343642616,0.6705202312138729,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.5,0.875,0.6363636363636364,8,0.0,0.0,0.0,5,0.6,0.375,0.46153846153846156,8,0.3333333333333333,0.5,0.4,4,0.5,0.5,0.5,2,False
35,0.038488619762611975,2.3349698560304644,0.5151515151515151,0.3452380952380952,0.3691756272401434,0.6165137614678899,1.0,0.3333333333333333,0.5,6,0.5,1.0,0.6666666666666666,8,0.0,0.0,0.0,5,0.46153846153846156,0.75,0.5714285714285714,8,0.5,0.25,0.3333333333333333,4,0.0,0.0,0.0,2,False
36,0.04265562340291597,2.5823888039896454,0.5757575757575758,0.4611111111111111,0.4652777777777779,0.7063403781979978,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,0.5384615384615384,0.875,0.6666666666666666,8,1.0,0.2,0.3333333333333333,5,0.5714285714285714,0.5,0.5333333333333333,8,0.3333333333333333,0.5,0.4,4,0.0,0.0,0.0,2,False
37,0.07886502341628276,2.249755740813359,0.5757575757575758,0.41698508463214345,0.46216530849825377,0.6888519134775375,0.7142857142857143,0.8333333333333334,0.7692307692307693,6,0.5833333333333334,0.875,0.7,8,0.0,0.0,0.0,5,0.5555555555555556,0.625,0.5882352941176471,8,0.4,0.5,0.4444444444444444,4,0.0,0.0,0.0,2,False
38,0.06760154332984147,3.141884817864041,0.5151515151515151,0.37272727272727274,0.38675958188153314,0.6522462562396008,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.5,0.875,0.6363636363636364,8,0.0,0.0,0.0,5,0.5714285714285714,0.5,0.5333333333333333,8,0.3333333333333333,0.5,0.4,4,0.0,0.0,0.0,2,False
39,0.0429187046154637,2.404541146200052,0.48484848484848486,0.35975135975135974,0.35812356979405036,0.6645264847512038,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.5384615384615384,0.875,0.6666666666666666,8,0.0,0.0,0.0,5,0.6,0.375,0.46153846153846156,8,0.2857142857142857,0.5,0.36363636363636365,4,0.0,0.0,0.0,2,False
40,0.04536135544475366,2.2359012897344988,0.5757575757575758,0.449213943950786,0.45325443786982256,0.623875224955009,0.8,0.6666666666666666,0.7272727272727273,6,0.6363636363636364,0.875,0.7368421052631579,8,0.5,0.2,0.2857142857142857,5,0.42857142857142855,0.75,0.5454545454545454,8,1.0,0.25,0.4,4,0.0,0.0,0.0,2,False
