fold,accuracy,macro_f1,cohen_kappa,weighted_kappa,precision_c0,recall_c0,f1_c0,support_c0,precision_c1,recall_c1,f1_c1,support_c1,precision_c2,recall_c2,f1_c2,support_c2,precision_c3,recall_c3,f1_c3,support_c3,precision_c4,recall_c4,f1_c4,support_c4
1,0.47058823529411764,0.4169944090996722,0.32300884955752207,0.6017039403620873,0.7,0.6363636363636364,0.6666666666666666,11,0.42857142857142855,0.5,0.46153846153846156,6,0.5,0.2,0.2857142857142857,5,0.3076923076923077,0.6666666666666666,0.42105263157894735,6,0.5,0.16666666666666666,0.25,6
2,0.48484848484848486,0.4632543926661574,0.3617747440273038,0.6362204724409448,0.6666666666666666,0.75,0.7058823529411765,8,0.42857142857142855,0.42857142857142855,0.42857142857142855,7,0.5,0.5,0.5,4,0.5,0.1111111111111111,0.18181818181818182,9,0.36363636363636365,0.8,0.5,5
3,0.3939393939393939,0.3243927125506073,0.23875432525951557,0.5303110173958883,0.5,0.8571428571428571,0.631578947368421,7,0.5,0.2222222222222222,0.3076923076923077,9,0.0,0.0,0.0,5,0.3,0.5,0.375,6,0.2857142857142857,0.3333333333333333,0.3076923076923077,6
