fold,accuracy,macro_f1,cohen_kappa,weighted_kappa,precision_c0,recall_c0,f1_c0,support_c0,precision_c1,recall_c1,f1_c1,support_c1,precision_c2,recall_c2,f1_c2,support_c2,precision_c3,recall_c3,f1_c3,support_c3,precision_c4,recall_c4,f1_c4,support_c4
1,0.17647058823529413,0.06,0.0,0.0,0.0,0.0,0.0,11,0.17647058823529413,1.0,0.3,6,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6
2,0.24242424242424243,0.07804878048780488,0.0,0.0,0.24242424242424243,1.0,0.3902439024390244,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.0,0.0,0.0,5
3,0.21212121212121213,0.06999999999999999,0.0,0.0,0.21212121212121213,1.0,0.35,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6
