epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,is_best
1,1.584152870984813,1.6130549004583647,0.21212121212121213,0.06999999999999999,0.0,0.0,0.21212121212121213,1.0,0.35,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.0,0.0,0.0,6,0.0,0.0,0.0,6,True
2,1.2858963469071174,1.2973098200378996,0.3333333333333333,0.1952569169960474,0.1674311926605504,0.4554455445544555,0.375,0.8571428571428571,0.5217391304347826,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.3125,0.8333333333333334,0.45454545454545453,6,0.0,0.0,0.0,6,True
3,0.9231155304173332,1.380578847635876,0.3939393939393939,0.3512987012987013,0.23963133640552992,0.5102739726027397,0.5,1.0,0.6666666666666666,7,0.2,0.1111111111111111,0.14285714285714285,9,0.3333333333333333,0.4,0.36363636363636365,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0.5,0.16666666666666666,0.25,6,False
4,0.6320362374260651,1.6092551638682684,0.45454545454545453,0.4311965811965813,0.3060747663551402,0.5625360230547551,0.5454545454545454,0.8571428571428571,0.6666666666666666,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,9,0.3333333333333333,0.2,0.25,5,0.42857142857142855,0.5,0.46153846153846156,6,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,False
5,0.39722948218904325,1.856781188404244,0.3939393939393939,0.3550738150738151,0.22535211267605637,0.490426189005559,0.6,0.42857142857142855,0.5,7,0.46153846153846156,0.6666666666666666,0.5454545454545454,9,0.2,0.2,0.2,5,0.2857142857142857,0.3333333333333333,0.3076923076923077,6,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,False
6,0.3020011974285491,2.0647217216816816,0.48484848484848486,0.4470940170940171,0.3476744186046512,0.552212389380531,0.6666666666666666,0.8571428571428571,0.75,7,0.5555555555555556,0.5555555555555556,0.5555555555555556,9,0.4,0.4,0.4,5,0.2857142857142857,0.3333333333333333,0.3076923076923077,6,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,False
7,0.23057169802486896,2.2561353232485777,0.5151515151515151,0.47779973649538865,0.3795534665099882,0.4961832061068703,0.8,0.5714285714285714,0.6666666666666666,7,0.5,0.7777777777777778,0.6086956521739131,9,0.42857142857142855,0.6,0.5,5,0.4,0.3333333333333333,0.36363636363636365,6,0.5,0.16666666666666666,0.25,6,False
8,0.1626973971900581,2.5860748595699214,0.45454545454545453,0.39260317460317457,0.30117647058823527,0.4518272425249168,1.0,0.2857142857142857,0.4444444444444444,7,0.5,0.8888888888888888,0.64,9,0.3333333333333333,0.6,0.42857142857142855,5,0.25,0.16666666666666666,0.2,6,0.5,0.16666666666666666,0.25,6,False
9,0.12158366505923074,2.700964458848378,0.3939393939393939,0.3566322566322566,0.23076923076923073,0.46375,0.6,0.42857142857142855,0.5,7,0.5,0.6666666666666666,0.5714285714285714,9,0.25,0.4,0.3076923076923077,5,0.2,0.16666666666666666,0.18181818181818182,6,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,False
10,0.10360074902685423,4.065966427695909,0.36363636363636365,0.3375024975024975,0.18947368421052635,0.40463917525773196,0.5,0.42857142857142855,0.46153846153846156,7,0.38461538461538464,0.5555555555555556,0.45454545454545453,9,0.2222222222222222,0.4,0.2857142857142857,5,0.25,0.16666666666666666,0.2,6,1.0,0.16666666666666666,0.2857142857142857,6,False
11,0.08538198500225293,3.3375585653706255,0.36363636363636365,0.3256913021618904,0.20344827586206893,0.40150093808630394,0.6666666666666666,0.5714285714285714,0.6153846153846154,7,0.5555555555555556,0.5555555555555556,0.5555555555555556,9,0.16666666666666666,0.4,0.23529411764705882,5,0.0,0.0,0.0,6,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,False
