cal_bin,mean_true,mean_pred,count,mean_abs_error
0,1.875,29.567344427108765,8,27.692344427108765
1,13.8,27.731245040893555,5,13.931245040893554
2,42.0,22.496311817850387,7,19.715877992766245
3,58.714285714285715,41.63066359928676,7,17.083622114998953
4,72.0,45.26816574732462,6,26.731834252675373
