epoch,lr,train_mae,train_rmse,train_r2,train_pearson_r,train_spearman_r,train_nmae,train_ba_mean_diff,train_ba_loa_upper,train_ba_loa_lower,train_rounded_acc_5,train_tolerance_acc_10,train_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_5,val_tolerance_acc_10,val_loss,is_best
1,2.125e-05,24.407725652058918,28.535673660887497,-0.1773239803366624,0.008470441301985245,-0.07257379876621847,0.24407725652058918,11.074911001956824,62.620713131063695,-40.470891127150054,0.09090909090909091,0.22727272727272727,24.450289165612425,25.436520352083093,29.594155728814986,-0.13709764965510396,0.10047792325818393,0.06140216195276778,0.2543652035208309,10.346651918747845,64.69066420410009,-43.9973603666044,0.08823529411764706,0.23529411764705882,24.934858974288492,True
2,3.25e-05,23.932238376501836,27.418296190331645,-0.08692770304292119,0.17295185236218075,0.1485338174057455,0.23932238376501835,8.11868684942072,59.44860928009869,-43.21123558125725,0.045454545454545456,0.16666666666666666,24.07685468269117,25.17155697766472,28.30545189893137,-0.040222007997031906,0.40456793957240894,0.34323808531597194,0.2517155697766472,6.250617812661564,60.35969653887572,-47.858460913552584,0.08823529411764706,0.14705882352941177,24.67719378564872,True
3,4.375e-05,23.63402305949818,26.51976038445365,-0.016854751114844024,0.31574367040975715,0.2763949715108603,0.2363402305949818,4.808412407383774,55.92560549444475,-46.3087806796772,0.10606060606060606,0.12121212121212122,23.767268845529266,24.828158939585965,27.40547492955659,0.024874490951067307,0.6614847599159694,0.5931448844637368,0.24828158939585965,3.0274352466358856,56.413413261132504,-50.35854276786074,0.058823529411764705,0.08823529411764706,24.357485944383285,False
4,5.4999999999999995e-05,22.900690685619008,25.662832783932434,0.04779837353912997,0.6072971253994699,0.5981276646587965,0.22900690685619007,4.014854460051565,53.6946466386152,-45.664937718512064,0.10606060606060606,0.13636363636363635,23.098824558836043,22.42036538965562,25.16435027863821,0.17783819720771532,0.7991707513404313,0.8028332675324388,0.2242036538965562,4.750625946942498,53.18587366457597,-43.684621770690974,0.08823529411764706,0.17647058823529413,21.96369724741169,True
5,6.625e-05,19.37409447178696,22.18937816516424,0.2881147507632825,0.7767656381070477,0.7616904455763251,0.19374094471786962,3.777878443400065,46.63408129739764,-39.07832441059752,0.10606060606060606,0.25757575757575757,19.74868866891572,11.800851934096393,15.262956070676164,0.6975433338771602,0.8957024703849816,0.8433586944212654,0.11800851934096393,-4.443989304935231,24.175285256445285,-33.06326386631575,0.29411764705882354,0.5,11.793603858293272,True
6,7.75e-05,9.073644666960746,11.482911725918568,0.8093557183841471,0.9224510604640968,0.8705720463174634,0.09073644666960747,0.7878675894303755,23.241335911508322,-21.66560073264757,0.3787878787878788,0.5606060606060606,11.919528955401796,10.015318442793454,14.171177275211006,0.7392659719438167,0.9062335660941945,0.9099747077394539,0.10015318442793454,-7.516057708684136,16.030970015980667,-31.06308543334894,0.35294117647058826,0.5294117647058824,10.562077787810681,True
7,8.875e-05,5.955498848900651,8.728873068659416,0.8898369155739849,0.9439045968192882,0.9276570245520667,0.059554988489006505,-0.38801749727942725,16.703662097042248,-17.479697091601103,0.5909090909090909,0.8484848484848485,9.053756082419193,8.982145912507,11.36405954567183,0.8323309693158297,0.9247214928370115,0.8939716016518984,0.08982145912507,0.7342994493596694,22.96130901796029,-21.492710119240954,0.38235294117647056,0.5,9.120338521284216,True
8,0.0001,5.228417228568684,7.9803980617827674,0.9079192517733762,0.9532800194787308,0.9557710105372521,0.052284172285686846,-0.5462740208163406,15.05861748628582,-16.1511655279185,0.6666666666666666,0.8636363636363636,7.870401602080374,8.438764228540307,10.814202178484697,0.8481639763523181,0.9301250288538885,0.8680503290101139,0.08438764228540307,-0.1207818353877348,21.073732382906613,-21.315296053682083,0.4117647058823529,0.5588235294117647,8.545318755682777,True
9,9.995288696830197e-05,4.225234064188871,6.364679259690826,0.941430330111513,0.971357201150706,0.970674558498172,0.04225234064188871,-0.777288581385757,11.60410519220895,-13.158682354980465,0.7727272727272727,0.8787878787878788,7.021375549200809,8.199392153936273,10.799430690033573,0.8485784890910463,0.9297970004029703,0.8646315600141173,0.08199392153936273,-0.822402347536648,20.283017226245253,-21.92782192131855,0.4117647058823529,0.6176470588235294,7.974348795180227,True
10,9.98116375555414e-05,3.607526871291074,5.543898848661932,0.9555624275482938,0.9788365091768435,0.982944379890963,0.03607526871291074,-0.8541807460062432,9.882109895613397,-11.590471387625882,0.8484848484848485,0.9090909090909091,6.595027101401127,7.710359517265768,11.639032585022818,0.8241187188744519,0.9234837672835212,0.8683262435184083,0.07710359517265769,-4.259277182466843,16.970846901689978,-25.489401266623663,0.47058823529411764,0.5882352941176471,7.723833932011735,True
