fold,accuracy,macro_f1,cohen_kappa,weighted_kappa,precision_c0,recall_c0,f1_c0,support_c0,precision_c1,recall_c1,f1_c1,support_c1,precision_c2,recall_c2,f1_c2,support_c2,precision_c3,recall_c3,f1_c3,support_c3,precision_c4,recall_c4,f1_c4,support_c4,loss
1,0.6176470588235294,0.5593757120072909,0.5083426028921023,0.7661375661375661,0.8181818181818182,0.8181818181818182,0.8181818181818182,11,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,0.5,0.2,0.2857142857142857,5,0.38461538461538464,0.8333333333333334,0.5263157894736842,6,1.0,0.3333333333333333,0.5,6,1.0185896882458645
2,0.5151515151515151,0.48651780967570435,0.38100820633059784,0.675054704595186,0.5454545454545454,0.75,0.631578947368421,8,0.3333333333333333,0.14285714285714285,0.2,7,0.5,0.5,0.5,4,0.5555555555555556,0.5555555555555556,0.5555555555555556,9,0.5,0.6,0.5454545454545454,5,1.0778969462848071
3,0.5757575757575758,0.5546685340802988,0.467741935483871,0.6451612903225806,0.5454545454545454,0.8571428571428571,0.6666666666666666,7,0.6,0.3333333333333333,0.42857142857142855,9,1.0,0.6,0.75,5,0.5454545454545454,1.0,0.7058823529411765,6,0.3333333333333333,0.16666666666666666,0.2222222222222222,6,0.9646986367801825
