fold,accuracy,macro_f1,cohen_kappa,weighted_kappa,precision_c0,recall_c0,f1_c0,support_c0,precision_c1,recall_c1,f1_c1,support_c1,precision_c2,recall_c2,f1_c2,support_c2,precision_c3,recall_c3,f1_c3,support_c3,precision_c4,recall_c4,f1_c4,support_c4
1,0.6176470588235294,0.5798983625070582,0.5077951002227172,0.7160751565762005,0.75,0.8181818181818182,0.782608695652174,11,0.5,0.3333333333333333,0.4,6,0.5,0.6,0.5454545454545454,5,0.5,0.6666666666666666,0.5714285714285714,6,0.75,0.5,0.6,6
2,0.696969696969697,0.6798265460030166,0.6162790697674418,0.78,0.875,0.875,0.875,8,0.8333333333333334,0.7142857142857143,0.7692307692307693,7,0.5,0.5,0.5,4,0.625,0.5555555555555556,0.5882352941176471,9,0.5714285714285714,0.8,0.6666666666666666,5
3,0.696969696969697,0.6967032967032967,0.6224256292906178,0.7521663778162911,0.8333333333333334,0.7142857142857143,0.7692307692307693,7,0.8333333333333334,0.5555555555555556,0.6666666666666666,9,0.5714285714285714,0.8,0.6666666666666666,5,0.625,0.8333333333333334,0.7142857142857143,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,6
