,pred_0,pred_1,pred_1+,pred_2,pred_3,pred_4
true_0,6,0,0,0,0,0
true_1,8,0,0,0,0,0
true_1+,4,0,0,1,0,0
true_2,2,0,0,6,0,0
true_3,1,0,0,2,1,0
true_4,1,0,0,1,0,0
