epoch,lr,train_mae,train_rmse,train_r2,train_pearson_r,train_spearman_r,train_nmae,train_ba_mean_diff,train_ba_loa_upper,train_ba_loa_lower,train_rounded_acc_1,train_tolerance_acc_1p5,train_loss,val_mae,val_rmse,val_r2,val_pearson_r,val_spearman_r,val_nmae,val_ba_mean_diff,val_ba_loa_upper,val_ba_loa_lower,val_rounded_acc_1,val_tolerance_acc_1p5,val_loss,is_best
1,2.125e-05,5.844718712479321,6.520905360604368,-0.02123000938866504,0.3348619205457063,0.32514783917799106,0.29223593562396605,-1.0577702379938383,11.553931791992207,-13.669472267979883,0.05970149253731343,0.05970149253731343,6.0491172733591565,6.238675117492676,6.6627462428317665,-0.003218481438234555,0.5130757203372762,0.5556320236364168,0.3119337558746338,-0.7566324869791666,12.217870950591967,-13.7311359245503,0.030303030303030304,0.030303030303030304,5.736622573390152,True
2,3.25e-05,5.760776612296033,6.428556599998604,0.0074903962374031074,0.3984401464031725,0.40034502673545486,0.2880388306148017,-0.4925768197472416,12.07035169199816,-13.055505331492645,0.08955223880597014,0.08955223880597014,5.957490367320046,6.2553691141533125,6.681464424271429,-0.008863241942067557,0.4742515123686029,0.49262911625182915,0.31276845570766565,-0.7682007442821156,12.240624233294499,-13.77702572185873,0.030303030303030304,0.030303030303030304,5.755825639493538,False
3,4.375e-05,5.59000981743656,6.285472589459557,0.05118040004808544,0.7446442789663065,0.7351525046342585,0.279500490871828,0.06709629742067251,12.385920636591187,-12.251728041749843,0.11940298507462686,0.11940298507462686,5.768355779505487,6.065096522822524,6.566420865048322,0.025579510212298096,0.6615460299020423,0.613608103304149,0.3032548261411262,0.3828904845497825,13.231176790633308,-12.465395821533741,0.030303030303030304,0.030303030303030304,5.564779961711229,True
4,5.4999999999999995e-05,4.523421152314143,5.247519949120443,0.3386734318879484,0.8952021609862088,0.8925666172046833,0.22617105761570716,0.28275704028001475,10.552953944977524,-9.987439864417496,0.14925373134328357,0.14925373134328357,4.677161319931941,5.812693436940511,7.291477036487014,-0.2014895637891052,0.7618751605660168,0.7915578044808302,0.2906346718470255,3.6722395781314736,16.01872964094481,-8.67425048468186,0.15151515151515152,0.15151515151515152,5.344150714305314,True
5,6.625e-05,2.1594042137487612,2.911869743308226,0.79636535802802,0.923240307029592,0.9083460270405449,0.10797021068743806,0.4983655303271849,6.121419774792078,-5.124688714137709,0.5223880597014925,0.5223880597014925,2.7422405826511667,5.622205185167717,6.087121067970302,0.16263875417358498,0.7539042141185432,0.7748017120913122,0.28111025925838584,0.3658697243892785,12.275056535278333,-11.543317086499775,0.06060606060606061,0.06060606060606061,5.153261147123395,False
6,7.75e-05,1.8222979182627663,2.3629446690904854,0.8659042917666782,0.9386035025875861,0.9162657308364904,0.09111489591313832,0.3889561446745004,4.957152589612327,-4.179240300263326,0.5074626865671642,0.5074626865671642,2.3176213442389644,5.7097359281597715,6.64760947155857,0.0013346678334684725,0.5764057143063053,0.7489973298114545,0.2854867964079886,1.9221287062673857,14.394896812690483,-10.550639400155713,0.06060606060606061,0.06060606060606061,5.195648209795808,False
7,8.875e-05,1.490584273836506,1.982692662858459,0.9055898749856159,0.9580953267487208,0.9541443141433618,0.0745292136918253,0.37389882642831374,4.190250789429391,-3.4424531365727637,0.5970149253731343,0.5970149253731343,2.010189435731119,7.378472183689927,9.763513675167081,-1.1542755669784,0.5414872676135624,0.6524822376478308,0.36892360918449635,7.154721231171579,20.175991725125247,-5.866549262782089,0.30303030303030304,0.30303030303030304,6.911789085738587,True
8,0.0001,1.3197858867360586,1.7488739152543091,0.9265444230401672,0.9681855354234682,0.968423780078476,0.06598929433680292,0.28071286073371543,3.664061352940284,-3.1026356314728534,0.6865671641791045,0.6865671641791045,1.8435762006845047,7.1693853031505235,9.550735993562585,-1.0614018361915627,0.6230527020185377,0.5945061579800985,0.3584692651575262,6.8905705827655215,19.852765751513296,-6.071624585982255,0.30303030303030304,0.30303030303030304,6.725057960937571,True
9,9.998052800596113e-05,1.1804122391031748,1.554789866034017,0.9419434564182105,0.9742064529192279,0.9707836918156517,0.059020611955158744,0.2382612762166493,3.249655112527864,-2.7731325600945658,0.7164179104477612,0.7164179104477612,1.7021787138127569,6.0646256100047715,6.48353436499304,0.050024046406413114,0.6843434564288964,0.6849890568834958,0.30323128050023856,-1.055795886299827,11.482309392782934,-13.593901165382587,0.030303030303030304,0.030303030303030304,5.554312337287748,False
10,9.992212734338192e-05,1.016977393805091,1.2918003091985004,0.9599226920060737,0.9814967657063081,0.9703037097674124,0.05084886969025455,0.20089773455662513,2.7020206573952295,-2.300225188281979,0.7313432835820896,0.7313432835820896,1.5030189414522541,6.546580292961814,7.539747970725587,-0.28470269806142623,0.768344552814509,0.771785615461199,0.3273290146480907,-3.85923678224737,8.836070842249713,-16.554544406744455,0.15151515151515152,0.15151515151515152,6.059717877766099,False
11,9.982484395882215e-05,0.8956157058032591,1.114430505471537,0.9701727127288583,0.986262983318637,0.9717636551641398,0.04478078529016295,0.12316618036867967,2.2940689787222066,-2.047736617984847,0.8208955223880597,0.8208955223880597,1.4022649889561667,5.337850599577933,6.187308758368034,0.13484772241781362,0.747792714821654,0.8208809661624866,0.2668925299788966,2.0906647768887607,13.50451580233273,-9.323186248555206,0.15151515151515152,0.15151515151515152,4.847755997108691,False
12,9.96887543897155e-05,0.8695815410186996,1.037036799617407,0.9741716829217616,0.9876792658920621,0.9756435100540727,0.043479077050934976,0.12362783880376105,2.141725048133958,-1.8944693705264357,0.8656716417910447,0.8656716417910447,1.310263800265184,5.31939765178796,6.547105564550869,0.03130364620438397,0.7433426207135576,0.8436692518122311,0.265969882589398,3.1371375141721782,14.400396419963329,-8.126121391618973,0.18181818181818182,0.18181818181818182,4.86688047125183,False
13,9.951396570415405e-05,0.8245936792288253,0.9732570460482168,0.9772509698175805,0.9889243047116564,0.9778434277751689,0.04122968396144126,0.07696562382712294,1.9785753312511456,-1.8246440835968996,0.8507462686567164,0.8507462686567164,1.2438570227195966,5.707823811155377,7.2298144827218715,-0.1812539804107267,0.8669928410159926,0.8336155963785202,0.28539119055776885,3.6549253752737334,15.881263033412768,-8.571412282865303,0.18181818181818182,0.18181818181818182,5.23834428598427,False
14,9.930061541665266e-05,0.7713799049605184,0.9171273259106715,0.9797992710773777,0.9901751057808298,0.9791233799038065,0.03856899524802592,0.07585968544234091,1.8672694918131836,-1.7155501209285016,0.8805970149253731,0.8805970149253731,1.186211587066081,7.55114136320172,9.927634666618003,-1.227309410027536,0.536287383458211,0.659184674603638,0.377557068160086,7.399858156840007,20.37144991281469,-5.571733599134675,0.2727272727272727,0.2727272727272727,7.065049686696795,False
15,9.904887137995989e-05,0.7188692791248436,0.8649746288872939,0.9820313887852734,0.9911581128631728,0.9811433043568129,0.03594346395624218,0.03621340376227649,1.7300772211520905,-1.6576504136275374,0.9402985074626866,0.9402985074626866,1.1403345431854475,7.759114467736446,10.131565980774537,-1.3197550681417787,0.7273433482621914,0.729895384487404,0.3879557233868223,7.662549914735736,20.65395835094514,-5.328858521473665,0.24242424242424243,0.24242424242424243,7.29487076042728,False
16,9.875893165300025e-05,0.661605211781032,0.7928596478830604,0.9849026610903839,0.9925048518295866,0.9844031824344368,0.0330802605890516,0.018294943357581524,1.5718860920498714,-1.5352962053347086,0.9402985074626866,0.9402985074626866,1.1003068742467397,5.634934382005171,6.227289177682305,0.12363092227940964,0.5878520586431044,0.815686577521736,0.28174671910025856,1.1164945978106875,13.124205542206939,-10.891216346585564,0.06060606060606061,0.06060606060606061,5.149305320689172,False
17,9.843102434505193e-05,0.6065423439687757,0.7449991748356404,0.986670331244313,0.9933445683176618,0.9854031450349352,0.030327117198438787,0.021967742425292286,1.4815311808850256,-1.4375956960344412,0.9402985074626866,0.9402985074626866,1.04693525584776,7.596086097486092,9.931757607139012,-1.2291597946132522,0.7652972779083907,0.8828785080037033,0.3798043048743046,7.462253801750414,20.308043166606463,-5.383535563105635,0.24242424242424243,0.24242424242424243,7.128949535495103,False
18,9.806540743628242e-05,0.6132424811818706,0.7392546595157796,0.9868751026659144,0.9934883108552145,0.9848231667266462,0.03066212405909353,0.04821798605705375,1.4940717094051827,-1.3976357372910753,0.9701492537313433,0.9701492537313433,1.0631700462369778,6.060112678643429,8.10248350032493,-0.4836289145168524,0.8287647986927417,0.8429990081166505,0.30300563393217145,5.577243443691369,17.097074779766203,-5.942587892383463,0.36363636363636365,0.36363636363636365,5.600243941957903,True
19,9.766236857478335e-05,0.6075761883116481,0.7483217594419868,0.9865511694659984,0.9932756068225832,0.9829032385336895,0.0303788094155824,0.024595227259308544,1.4905134534159756,-1.4413229988973584,0.9552238805970149,0.9552238805970149,1.0113682910577575,6.026459972063701,7.209106893227135,-0.17449699040414157,0.7984824953490033,0.8076436531747674,0.301322998603185,-4.296503511342135,7.049726363979395,-15.642733386663664,0.21212121212121213,0.21212121212121213,5.563059694545738,False
20,9.722222485026419e-05,0.5601523340638004,0.7050022980549486,0.9880631746656777,0.9940568742040592,0.9863431098794033,0.02800761670319002,0.04374701585342635,1.4228886432254062,-1.3353946115185535,0.9850746268656716,0.9850746268656716,0.9736127066968092,5.226765993869666,5.565850213054193,0.29991300989799874,0.8349422632767091,0.8805326550691707,0.2613382996934833,-0.34640695109511865,10.541510510381196,-11.234324412571434,0.030303030303030304,0.030303030303030304,4.742486971074885,False
21,9.674532254458269e-05,0.5406401370888325,0.6622096145225651,0.9894682937407667,0.994731178435884,0.9893629969329081,0.027032006854441626,-0.0005584741706278787,1.297371908724364,-1.29848885706562,1.0,1.0,0.9388981132364985,7.408556360186952,9.69927544844313,-1.126021068746915,0.8564965747477911,0.8736626571894683,0.3704278180093476,7.286901213906028,19.83350635355621,-5.2597039257441525,0.2727272727272727,0.2727272727272727,6.93972546051849,False
