fold,accuracy,macro_f1,cohen_kappa,weighted_kappa,precision_c0,recall_c0,f1_c0,support_c0,precision_c1,recall_c1,f1_c1,support_c1,precision_c2,recall_c2,f1_c2,support_c2,precision_c3,recall_c3,f1_c3,support_c3,precision_c4,recall_c4,f1_c4,support_c4,loss
1,0.17647058823529413,0.10153846153846154,0.0,0.1220657276995305,0.0,0.0,0.0,11,0.2,0.6666666666666666,0.3076923076923077,6,0.0,0.0,0.0,5,0.14285714285714285,0.3333333333333333,0.2,6,0.0,0.0,0.0,6,1.5737650387427387
2,0.15151515151515152,0.11478260869565218,-0.07068366164542295,0.23718592964824137,0.13333333333333333,0.25,0.17391304347826086,8,0.0,0.0,0.0,7,0.0,0.0,0.0,4,0.0,0.0,0.0,9,0.3,0.6,0.4,5,1.461193968671741
3,0.36363636363636365,0.2723076923076923,0.20527522935779818,0.4055584148224395,0.3157894736842105,0.8571428571428571,0.46153846153846156,7,0.0,0.0,0.0,9,0.0,0.0,0.0,5,0.4,0.6666666666666666,0.5,6,0.5,0.3333333333333333,0.4,6,1.5464777202317208
