,pred_0,pred_1,pred_1+,pred_2,pred_3,pred_4
true_0,4,2,0,0,0,0
true_1,2,6,0,0,0,0
true_1+,3,2,0,0,0,0
true_2,7,1,0,0,0,0
true_3,4,0,0,0,0,0
true_4,2,0,0,0,0,0
